SYSET	Word	W1	W2	DEF_SYNT
100066397	failure	unexpected	omission	 (S1 (NP (DT an)(JJ unexpected)(NN omission)))# 
100067153	naught	complete	failure	 (S1 (NP (JJ complete)(NN failure)))# 
100067254	cut	unexcused	absence	 (S1 (NP (NP (DT an)(JJ unexcused)(NN absence))(PP (IN from)(NP (NN class)))))# 
100068617	recidivism	habitual	relapse	 (S1 (NP (NP (JJ habitual)(NN relapse))(PP (IN into)(NP (NN crime)))))# 
100070965	error	wrong	action	 (S1 (NP (NP (DT a)(JJ wrong)(NN action))(ADJP (JJ attributable)(PP (TO to)(NP (NP (JJ bad)(NN judgment))(CC or)(NP (NN ignorance)(CC or)(NN inattention)))))))# 
100070965	fault	wrong	action	 (S1 (NP (NP (DT a)(JJ wrong)(NN action))(ADJP (JJ attributable)(PP (TO to)(NP (NP (JJ bad)(NN judgment))(CC or)(NP (NN ignorance)(CC or)(NN inattention)))))))# 
100070965	mistake	wrong	action	 (S1 (NP (NP (DT a)(JJ wrong)(NN action))(ADJP (JJ attributable)(PP (TO to)(NP (NP (JJ bad)(NN judgment))(CC or)(NP (NN ignorance)(CC or)(NN inattention)))))))# 
100071864	bobble	momentary	juggling	 (S1 (NP (NP (DT the)(JJ momentary)(NN juggling))(PP (IN of)(NP (DT a)(ADJP (VBN batted)(CC or)(VBN thrown))(NN baseball)))))# 
100074790	bloomer	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	blooper	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	blunder	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	boner	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	boo-boo	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	botch	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	bungle	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	flub	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	foul-up	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	fuckup	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100074790	pratfall	embarrassing	mistake	 (S1 (NP (DT an)(JJ embarrassing)(NN mistake)))# 
100076393	clanger	conspicuous	mistake	 (S1 (NP (NP (DT a)(JJ conspicuous)(NN mistake))(SBAR (WHNP (WP whose)(NNS effects))(S (VP (VBP seem)(S (VP (TO to)(VP (VB reverberate)))))))))# 
100076884	fall	sudden	drop	 (S1 (NP (NP (DT a)(JJ sudden)(NN drop))(PP (IN from)(NP (DT an)(JJ upright)(NN position)))))# 
100076884	spill	sudden	drop	 (S1 (NP (NP (DT a)(JJ sudden)(NN drop))(PP (IN from)(NP (DT an)(JJ upright)(NN position)))))# 
100076884	tumble	sudden	drop	 (S1 (NP (NP (DT a)(JJ sudden)(NN drop))(PP (IN from)(NP (DT an)(JJ upright)(NN position)))))# 
100084895	misappropriation	wrongful	borrowing	 (S1 (NP (JJ wrongful)(NN borrowing)))# 
100085041	preemption	prior	appropriation	 (S1 (NP (NP (DT a)(JJ prior)(NN appropriation))(PP (IN of)(NP (NN something)))))# 
100085041	pre-emption	prior	appropriation	 (S1 (NP (NP (DT a)(JJ prior)(NN appropriation))(PP (IN of)(NP (NN something)))))# 
100094788	conversion	spiritual	enlightenment	 (S1 (NP (NP (DT a)(JJ spiritual)(NN enlightenment))(VP (VBG causing)(NP (NP (DT a)(NN person))(SBAR (S (VP (TO to)(VP (VB lead)(NP (DT a)(JJ new)(NN life))))))))))# 
100094788	rebirth	spiritual	enlightenment	 (S1 (NP (NP (DT a)(JJ spiritual)(NN enlightenment))(VP (VBG causing)(NP (NP (DT a)(NN person))(SBAR (S (VP (TO to)(VP (VB lead)(NP (DT a)(JJ new)(NN life))))))))))# 
100094954	proselytism	spiritual	rebirth	 (S1 (NP (NP (JJ spiritual)(NN rebirth))(VP (VBG resulting)(PP (IN from)(NP (NP (DT the)(NNP zeal))(PP (IN of)(NP (NP (VBG crusading)(NN advocacy))(PP (IN of)(NP (DT the)(NN gospel))))))))))# 
100101003	spin	distinctive	interpretation	 (S1 (NP (NP (DT a)(JJ distinctive)(NN interpretation))(PRN (-LRB- -LRB-)(SBAR (ADVP (RB especially))(IN as)(S (VP (VBN used)(PP (IN by)(NP (NNS politicians)))(S (VP (TO to)(VP (VB sway)(NP (JJ public)(NN opinion))))))))(-RRB- -RRB-))))# 
100102457	automation	electronic	hardware	 (S1 (NP (ADJP (RB usually)(VBG involving))(JJ electronic)(NN hardware)))# 
100102457	mechanisation	electronic	hardware	 (S1 (NP (ADJP (RB usually)(VBG involving))(JJ electronic)(NN hardware)))# 
100102457	mechanization	electronic	hardware	 (S1 (NP (ADJP (RB usually)(VBG involving))(JJ electronic)(NN hardware)))# 
100109227	spitball	illegal	pitch	 (S1 (NP (NP (DT an)(JJ illegal)(NN pitch))(SBAR (WHPP (IN in)(WHNP (WDT which)))(S (NP (NP (DT a)(JJ foreign)(NN substance))(PRN (-LRB- -LRB-)(NP (NP (NN spit))(CC or)(NP (NNP Vaseline)))(-RRB- -RRB-)))(VP (AUX is)(VP (VBN applied)(PP (TO to)(NP (DT the)
100109227	spitter	illegal	pitch	 (S1 (NP (NP (DT an)(JJ illegal)(NN pitch))(SBAR (WHPP (IN in)(WHNP (WDT which)))(S (NP (NP (DT a)(JJ foreign)(NN substance))(PRN (-LRB- -LRB-)(NP (NP (NN spit))(CC or)(NP (NNP Vaseline)))(-RRB- -RRB-)))(VP (AUX is)(VP (VBN applied)(PP (TO to)(NP (DT the)
100111222	one-and-one	foul	shot	 (S1 (NP (NP (DT a)(JJ foul)(NN shot))(SBAR (WHNP (WDT that))(S (VP (MD must)(VP (AUX be)(VP (VBN made)(SBAR (IN in)(NN order)(S (VP (TO to)(VP (VB earn)(NP (NP (DT the)(NN right))(PP (TO to)(NP (DT a)(JJ second)(JJ foul)(NN shot)))))))))))))))# 
100117810	belching	forceful	expulsion	 (S1 (NP (NP (DT the)(JJ forceful)(NN expulsion))(PP (IN of)(NP (NP (NN something))(PP (IN from)(NP (NN inside)))))))# 
100118268	blush	sudden	reddening	 (S1 (NP (NP (JJ sudden)(NN reddening))(PP (IN of)(NP (NP (DT the)(NN face))(PRN (-LRB- -LRB-)(ADVP (IN as)(PP (IN from)(NP (NN embarrassment)(CC or)(NN guilt)(CC or)(NN shame)(CC or)(NN modesty))))(-RRB- -RRB-))))))# 
100118268	flush	sudden	reddening	 (S1 (NP (NP (JJ sudden)(NN reddening))(PP (IN of)(NP (NP (DT the)(NN face))(PRN (-LRB- -LRB-)(ADVP (IN as)(PP (IN from)(NP (NN embarrassment)(CC or)(NN guilt)(CC or)(NN shame)(CC or)(NN modesty))))(-RRB- -RRB-))))))# 
100118733	disgorgement	reflex	act	 (S1 (NP (NP (DT the)(JJ reflex)(NN act))(PP (IN of)(S (VP (VBG ejecting)(NP (NP (DT the)(NNS contents))(PP (IN of)(NP (DT the)(NN stomach))))(PP (IN through)(NP (DT the)(NN mouth))))))))# 
100118733	emesis	reflex	act	 (S1 (NP (NP (DT the)(JJ reflex)(NN act))(PP (IN of)(S (VP (VBG ejecting)(NP (NP (DT the)(NNS contents))(PP (IN of)(NP (DT the)(NN stomach))))(PP (IN through)(NP (DT the)(NN mouth))))))))# 
100118733	puking	reflex	act	 (S1 (NP (NP (DT the)(JJ reflex)(NN act))(PP (IN of)(S (VP (VBG ejecting)(NP (NP (DT the)(NNS contents))(PP (IN of)(NP (DT the)(NN stomach))))(PP (IN through)(NP (DT the)(NN mouth))))))))# 
100118733	regurgitation	reflex	act	 (S1 (NP (NP (DT the)(JJ reflex)(NN act))(PP (IN of)(S (VP (VBG ejecting)(NP (NP (DT the)(NNS contents))(PP (IN of)(NP (DT the)(NN stomach))))(PP (IN through)(NP (DT the)(NN mouth))))))))# 
100118733	vomit	reflex	act	 (S1 (NP (NP (DT the)(JJ reflex)(NN act))(PP (IN of)(S (VP (VBG ejecting)(NP (NP (DT the)(NNS contents))(PP (IN of)(NP (DT the)(NN stomach))))(PP (IN through)(NP (DT the)(NN mouth))))))))# 
100118733	vomiting	reflex	act	 (S1 (NP (NP (DT the)(JJ reflex)(NN act))(PP (IN of)(S (VP (VBG ejecting)(NP (NP (DT the)(NNS contents))(PP (IN of)(NP (DT the)(NN stomach))))(PP (IN through)(NP (DT the)(NN mouth))))))))# 
100127531	best	supreme	effort	 (S1 (NP (NP (DT the)(JJ supreme)(NN effort))(SBAR (S (NP (PRP one))(VP (MD can)(VP (VB make)))))))# 
100133160	backhander	backhanded	blow	 (S1 (NP (DT a)(JJ backhanded)(NN blow)))# 
100133567	thwack	hard	blow	 (S1 (NP (NP (DT a)(JJ hard)(NN blow))(PP (IN with)(NP (DT a)(JJ flat)(NN object)))))# 
100134391	swat	sharp	blow	 (S1 (NP (DT a)(JJ sharp)(NN blow)))# 
100134574	lash	quick	blow	 (S1 (NP (NP (DT a)(JJ quick)(NN blow))(VP (VBN delivered)(PP (IN with)(NP (DT a)(NN whip)(CC or)(JJ whiplike)(NN object))))))# 
100134574	whip	quick	blow	 (S1 (NP (NP (DT a)(JJ quick)(NN blow))(VP (VBN delivered)(PP (IN with)(NP (DT a)(NN whip)(CC or)(JJ whiplike)(NN object))))))# 
100134574	whiplash	quick	blow	 (S1 (NP (NP (DT a)(JJ quick)(NN blow))(VP (VBN delivered)(PP (IN with)(NP (DT a)(NN whip)(CC or)(JJ whiplike)(NN object))))))# 
100135637	haymaker	hard	punch	 (S1 (NP (NP (DT a)(JJ hard)(NN punch))(SBAR (WHNP (WDT that))(S (VP (VBZ renders)(S (NP (DT the)(NN opponent))(ADJP (JJ unable)(S (VP (TO to)(VP (VB continue)(S (VP (VBG boxing)))))))))))))# 
100143251	followup	subsequent	examination	 (S1 (NP (NP (DT a)(JJ subsequent)(NN examination))(PP (IN of)(NP (NP (DT a)(NN patient))(PP (IN for)(NP (NP (DT the)(NN purpose))(PP (IN of)(S (VP (VBG monitoring)(NP (JJR earlier)(NN treatment)))))))))))# 
100143251	follow-up	subsequent	examination	 (S1 (NP (NP (DT a)(JJ subsequent)(NN examination))(PP (IN of)(NP (NP (DT a)(NN patient))(PP (IN for)(NP (NP (DT the)(NN purpose))(PP (IN of)(S (VP (VBG monitoring)(NP (JJR earlier)(NN treatment)))))))))))# 
100143251	reexamination	subsequent	examination	 (S1 (NP (NP (DT a)(JJ subsequent)(NN examination))(PP (IN of)(NP (NP (DT a)(NN patient))(PP (IN for)(NP (NP (DT the)(NN purpose))(PP (IN of)(S (VP (VBG monitoring)(NP (JJR earlier)(NN treatment)))))))))))# 
100143251	review	subsequent	examination	 (S1 (NP (NP (DT a)(JJ subsequent)(NN examination))(PP (IN of)(NP (NP (DT a)(NN patient))(PP (IN for)(NP (NP (DT the)(NN purpose))(PP (IN of)(S (VP (VBG monitoring)(NP (JJR earlier)(NN treatment)))))))))))# 
100144632	stroke	light	touch	 (S1 (NP (NP (DT a)(JJ light)(NN touch))(PP (IN with)(NP (DT the)(NNS hands)))))# 
100144632	stroking	light	touch	 (S1 (NP (NP (DT a)(JJ light)(NN touch))(PP (IN with)(NP (DT the)(NNS hands)))))# 
100154433	documentation	documentary	validation	 (S1 (NP (JJ documentary)(NN validation)))# 
100154433	support	documentary	validation	 (S1 (NP (JJ documentary)(NN validation)))# 
100157877	underexposure	inadequate	publicity	 (S1 (NP (JJ inadequate)(NN publicity)))# 
100160922	cuckoldry	sexual	conquests	 (S1 (NP (NP (JJ sexual)(NNS conquests))(PP (IN of)(NP (JJ married)(NNS women)))))# 
100168911	flit	secret	move	 (S1 (NP (NP (DT a)(JJ secret)(NN move))(PRN (-LRB- -LRB-)(S (VP (TO to)(VP (VB avoid)(S (VP (VBG paying)(NP (NNS debts)))))))(-RRB- -RRB-))))# 
100171249	device	clever	maneuver	 (S1 (NP (DT any)(JJ clever)(NN maneuver)))# 
100171249	gimmick	clever	maneuver	 (S1 (NP (DT any)(JJ clever)(NN maneuver)))# 
100171249	twist	clever	maneuver	 (S1 (NP (DT any)(JJ clever)(NN maneuver)))# 
100172598	artifice	deceptive	maneuver	 (S1 (NP (NP (DT a)(JJ deceptive)(NN maneuver))(PRN (-LRB- -LRB-)(S (RB especially)(VP (TO to)(VP (VB avoid)(NP (NN capture)))))(-RRB- -RRB-))))# 
100172598	ruse	deceptive	maneuver	 (S1 (NP (NP (DT a)(JJ deceptive)(NN maneuver))(PRN (-LRB- -LRB-)(S (RB especially)(VP (TO to)(VP (VB avoid)(NP (NN capture)))))(-RRB- -RRB-))))# 
100178832	improvisation	unplanned	expedient	 (S1 (NP (DT an)(JJ unplanned)(NN expedient)))# 
100180413	acceptance	favorable	reception	 (S1 (NP (JJ favorable)(NN reception)))# 
100180413	acceptation	favorable	reception	 (S1 (NP (JJ favorable)(NN reception)))# 
100180413	adoption	favorable	reception	 (S1 (NP (JJ favorable)(NN reception)))# 
100180413	espousal	favorable	reception	 (S1 (NP (JJ favorable)(NN reception)))# 
100182571	primary	preliminary	election	 (S1 (NP (NP (DT a)(JJ preliminary)(NN election))(SBAR (WHADVP (WRB where))(S (NP (NNS delegates)(CC or)(NNS nominees))(VP (AUX are)(VP (VBN chosen)))))))# 
100183240	bye-election	special	election	 (S1 (NP (NP (DT a)(JJ special)(NN election))(PP (IN between)(NP (JJ regular)(NNS elections)))))# 
100183240	by-election	special	election	 (S1 (NP (NP (DT a)(JJ special)(NN election))(PP (IN between)(NP (JJ regular)(NNS elections)))))# 
100187337	goal	successful	attempt	 (S1 (NP (NP (DT a)(JJ successful)(NN attempt))(PP (IN at)(NP (NN scoring)))))# 
100190783	solution	successful	action	 (S1 (NP (NP (DT the)(JJ successful)(NN action))(PP (IN of)(S (VP (VBG solving)(NP (DT a)(NN problem)))))))# 
100194831	habituation	general	accommodation	 (S1 (NP (NP (DT a)(JJ general)(NN accommodation))(PP (TO to)(NP (JJ unchanging)(JJ environmental)(NNS conditions)))))# 
100198919	investiture	ceremonial	act	 (S1 (NP (NP (DT the)(JJ ceremonial)(NN act))(PP (IN of)(NP (NP (NN clothing)(NN someone))(PP (IN in)(NP (NP (DT the)(NN insignia))(PP (IN of)(NP (DT an)(NN office)))))))))#(S1 (NP (NP (DT the)(JJ formal)(NN promotion))(PP (IN of)(NP (NP (DT a)(NN person)
100198919	investment	ceremonial	act	 (S1 (NP (NP (DT the)(JJ ceremonial)(NN act))(PP (IN of)(NP (NP (NN clothing)(NN someone))(PP (IN in)(NP (NP (DT the)(NN insignia))(PP (IN of)(NP (DT an)(NN office)))))))))#(S1 (NP (NP (DT the)(JJ formal)(NN promotion))(PP (IN of)(NP (NP (DT a)(NN person)
100203020	backlash	adverse	reaction	 (S1 (NP (NP (DT an)(JJ adverse)(NN reaction))(PP (TO to)(NP (DT some)(ADJP (JJ political)(CC or)(JJ social))(NN occurrence)))))# 
100204943	bolt	sudden	abandonment	 (S1 (NP (NP (DT a)(JJ sudden)(NN abandonment))(PRN (-LRB- -LRB-)(ADVP (IN as)(PP (IN from)(NP (DT a)(JJ political)(NN party))))(-RRB- -RRB-))))# 
100208521	relegation	mild	banishment	 (S1 (NP (JJ mild)(NN banishment)))# 
100209132	suspension	temporary	debarment	 (S1 (NP (NP (DT a)(JJ temporary)(NN debarment))(PRN (-LRB- -LRB-)(PP (IN from)(NP (DT a)(NN privilege)(CC or)(NN position)(NN etc)))(-RRB- -RRB-))))# 
100209301	rustication	temporary	dismissal	 (S1 (NP (NP (JJ temporary)(NN dismissal))(PP (IN of)(NP (NP (DT a)(NN student))(PP (IN from)(NP (DT a)(NN university)))))))# 
100218045	demolishing	complete	destruction	 (S1 (NP (NP (JJ complete)(NN destruction))(PP (IN of)(NP (DT a)(NN building)))))# 
100218045	leveling	complete	destruction	 (S1 (NP (NP (JJ complete)(NN destruction))(PP (IN of)(NP (DT a)(NN building)))))# 
100218045	razing	complete	destruction	 (S1 (NP (NP (JJ complete)(NN destruction))(PP (IN of)(NP (DT a)(NN building)))))# 
100220522	execution	premeditated	killing	 (S1 (NP (NP (JJ unlawful)(JJ premeditated)(NN killing))(PP (IN of)(NP (NP (DT a)(JJ human)(NN being))(PP (IN by)(NP (DT a)(JJ human)(AUXG being)))))))# 
100220522	murder	premeditated	killing	 (S1 (NP (NP (JJ unlawful)(JJ premeditated)(NN killing))(PP (IN of)(NP (NP (DT a)(JJ human)(NN being))(PP (IN by)(NP (DT a)(JJ human)(AUXG being)))))))# 
100220522	slaying	premeditated	killing	 (S1 (NP (NP (JJ unlawful)(JJ premeditated)(NN killing))(PP (IN of)(NP (NP (DT a)(JJ human)(NN being))(PP (IN by)(NP (DT a)(JJ human)(AUXG being)))))))# 
100224260	battue	indiscriminate	slaughter	 (S1 (NP (JJ indiscriminate)(NN slaughter)))# 
100224260	bloodbath	indiscriminate	slaughter	 (S1 (NP (JJ indiscriminate)(NN slaughter)))# 
100224260	bloodletting	indiscriminate	slaughter	 (S1 (NP (JJ indiscriminate)(NN slaughter)))# 
100224260	bloodshed	indiscriminate	slaughter	 (S1 (NP (JJ indiscriminate)(NN slaughter)))# 
100226951	heave	involuntary	spasm	 (S1 (NP (NP (DT an)(JJ involuntary)(NN spasm))(PP (IN of)(NP (JJ ineffectual)(NN vomiting)))))# 
100226951	retch	involuntary	spasm	 (S1 (NP (NP (DT an)(JJ involuntary)(NN spasm))(PP (IN of)(NP (JJ ineffectual)(NN vomiting)))))# 
100227137	laryngismus	laryngeal	spasm	 (S1 (NP (NP (JJ laryngeal)(NN spasm))(VP (VBN caused)(PP (IN by)(NP (NP (DT the)(JJ sudden)(NN contraction))(PP (IN of)(NP (JJ laryngeal)(NNS muscles))))))))# 
100227484	carjacking	violent	theft	 (S1 (NP (NP (DT the)(JJ violent)(NN theft))(PP (IN of)(NP (DT an)(JJ occupied)(NN car)))))# 
100227848	hecatomb	great	sacrifice	 (S1 (NP (DT a)(JJ great)(NN sacrifice)))# 
100230475	miscarriage	natural	loss	 (S1 (NP (NP (DT a)(JJ natural)(NN loss))(PP (IN of)(NP (NP (DT the)(NNS products))(PP (IN of)(NP (NN conception)))))))# 
100230475	stillbirth	natural	loss	 (S1 (NP (NP (DT a)(JJ natural)(NN loss))(PP (IN of)(NP (NP (DT the)(NNS products))(PP (IN of)(NP (NN conception)))))))# 
100239483	groundbreaking	ceremonial	breaking	 (S1 (NP (NP (DT the)(JJ ceremonial)(NN breaking))(PP (IN of)(NP (DT the)(NN ground)(S (VP (TO to)(VP (ADVP (RB formally))(VB begin)(NP (DT a)(NN construction)(NN project)))))))))# 
100243373	inaugural	ceremonial	induction	 (S1 (NP (NP (DT the)(JJ ceremonial)(NN induction))(PP (IN into)(NP (DT a)(NN position)))))# 
100243373	inauguration	ceremonial	induction	 (S1 (NP (NP (DT the)(JJ ceremonial)(NN induction))(PP (IN into)(NP (DT a)(NN position)))))# 
100249987	stride	significant	progress	 (S1 (NP (NP (JJ significant)(NN progress))(PRN (-LRB- -LRB-)(PP (ADVP (RB especially))(IN in)(NP (NP (DT the)(NN phrase))(`` ``)(S (VP (VB make)(NP (NNS strides))))('' '')))(-RRB- -RRB-))))# 
100254166	pasteurisation	partial	sterilization	 (S1 (NP (NP (JJ partial)(NN sterilization))(PP (IN of)(NP (NP (NNS foods))(PP (IN at)(NP (DT a)(NN temperature)))(SBAR (WHNP (WDT that))(S (VP (VBZ destroys)(NP (JJ harmful)(NNS microorganisms))(PP (IN without)(NP (NP (JJ major)(NNS changes))(PP (IN in)(
100254166	pasteurization	partial	sterilization	 (S1 (NP (NP (JJ partial)(NN sterilization))(PP (IN of)(NP (NP (NNS foods))(PP (IN at)(NP (DT a)(NN temperature)))(SBAR (WHNP (WDT that))(S (VP (VBZ destroys)(NP (JJ harmful)(NNS microorganisms))(PP (IN without)(NP (NP (JJ major)(NNS changes))(PP (IN in)(
100268112	overhaul	periodic	maintenance	 (S1 (NP (NP (JJ periodic)(NN maintenance))(PP (IN on)(NP (DT a)(NN car)(CC or)(NN machine)))))# 
100268112	service	periodic	maintenance	 (S1 (NP (NP (JJ periodic)(NN maintenance))(PP (IN on)(NP (DT a)(NN car)(CC or)(NN machine)))))# 
100268457	quickie	hurried	repair	 (S1 (NP (JJ hurried)(NN repair)))# 
100268457	quicky	hurried	repair	 (S1 (NP (JJ hurried)(NN repair)))# 
100282613	career	general	progression	 (S1 (NP (NP (DT the)(JJ general)(NN progression))(PP (IN of)(NP (PRP your)(NN working)(CC or)(JJ professional)(NN life)))))# 
100282840	march	steady	advance	 (S1 (NP (DT a)(JJ steady)(NN advance)))# 
100283127	locomotion	self-propelled	movement	 (S1 (NP (JJ self-propelled)(NN movement)))# 
100283127	travel	self-propelled	movement	 (S1 (NP (JJ self-propelled)(NN movement)))# 
100284101	amble	leisurely	walk	 (S1 (NP (NP (DT a)(JJ leisurely)(NN walk))(PRN (-LRB- -LRB-)(PP (ADVP (RB usually))(IN in)(NP (DT some)(JJ public)(NN place)))(-RRB- -RRB-))))# 
100284101	perambulation	leisurely	walk	 (S1 (NP (NP (DT a)(JJ leisurely)(NN walk))(PRN (-LRB- -LRB-)(PP (ADVP (RB usually))(IN in)(NP (DT some)(JJ public)(NN place)))(-RRB- -RRB-))))# 
100284101	promenade	leisurely	walk	 (S1 (NP (NP (DT a)(JJ leisurely)(NN walk))(PRN (-LRB- -LRB-)(PP (ADVP (RB usually))(IN in)(NP (DT some)(JJ public)(NN place)))(-RRB- -RRB-))))# 
100284101	saunter	leisurely	walk	 (S1 (NP (NP (DT a)(JJ leisurely)(NN walk))(PRN (-LRB- -LRB-)(PP (ADVP (RB usually))(IN in)(NP (DT some)(JJ public)(NN place)))(-RRB- -RRB-))))# 
100284101	stroll	leisurely	walk	 (S1 (NP (NP (DT a)(JJ leisurely)(NN walk))(PRN (-LRB- -LRB-)(PP (ADVP (RB usually))(IN in)(NP (DT some)(JJ public)(NN place)))(-RRB- -RRB-))))# 
