Synset	T	V	N	Parsed Definition
200031820	laugh	produce	laughter	(S1 (S (VP (VB produce)(NP (NN laughter)))))#
200031820	express joy	produce	laughter	(S1 (S (VP (VB produce)(NP (NN laughter)))))#
200031820	express mirth	produce	laughter	(S1 (S (VP (VB produce)(NP (NN laughter)))))#
200034288	grimace	contort	face	(S1 (S (VP (VB contort)(NP (DT the)(NN face)(S (VP (TO to)(VP (VB indicate)(NP (DT a)(JJ certain)(ADJP (JJ mental)(CC or)(JJ emotional))(NN state)))))))))#
200034288	make a face	contort	face	(S1 (S (VP (VB contort)(NP (DT the)(NN face)(S (VP (TO to)(VP (VB indicate)(NP (DT a)(JJ certain)(ADJP (JJ mental)(CC or)(JJ emotional))(NN state)))))))))#
200034288	pull a face	contort	face	(S1 (S (VP (VB contort)(NP (DT the)(NN face)(S (VP (TO to)(VP (VB indicate)(NP (DT a)(JJ certain)(ADJP (JJ mental)(CC or)(JJ emotional))(NN state)))))))))#
200035259	shower	take	shower	(S1 (S (VP (VB take)(NP (DT a)(VB shower)))))#
200035603	bathe	cleanse	body	(S1 (S (VP (VB cleanse)(NP (DT the)(JJ entire)(NN body)))))#
200037514	epilate	remove	hair	(S1 (S (VP (VB remove)(NP (NN body)(NN hair)))))#
200037514	depilate	remove	hair	(S1 (S (VP (VB remove)(NP (NN body)(NN hair)))))#
200037779	tonsure	shave	head	(S1 (S (VP (VB shave)(NP (NP (DT the)(NN head))(PP (IN of)(NP (DT a)(ADJP (RB newly)(VBN inducted))(NN monk)))))))#
200042017	shampoo	use	shampoo	(S1 (S (VP (VB use)(NP (NP (NN shampoo))(PP (IN on)(NP (-LRB- -LRB-)(NN hair)(-RRB- -RRB-)))))))#
200050454	take off	remove	clothes	(S1 (S (VP (VB remove)(NP (NNS clothes)))))#
200053035	quicken	show	signs	(S1 (S (VP (VB show)(NP (NP (NNS signs))(PP (IN of)(NP (NN life)))))))#
200054285	conceive	undergo	conception	(S1 (S (VP (VB undergo)(NP (NN conception)))))#
200056188	fructify	bear	fruit	(S1 (S (VP (VB bear)(NP (NN fruit)))))#
200056188	set	bear	fruit	(S1 (S (VP (VB bear)(NP (NN fruit)))))#
200056683	spawn	lay	spawn	(S1 (S (VP (VB lay)(NP (VB spawn)))))#
200057506	labor	undergo	efforts	(S1 (S (VP (VB undergo)(NP (NP (DT the)(NNS efforts))(PP (IN of)(NP (NN childbirth)))))))#
200057506	labour	undergo	efforts	(S1 (S (VP (VB undergo)(NP (NP (DT the)(NNS efforts))(PP (IN of)(NP (NN childbirth)))))))#
200059769	miscarry	suffer	miscarriage	(S1 (S (VP (VB suffer)(NP (DT a)(NN miscarriage)))))#
200060701	defeminize	remove	ovaries	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS ovaries))(PP (IN of)(-LRB- -LRB-)(NP (NP (JJ female)(NNS mammals))(PP (JJ such)(IN as)(NP (NNS cats))))(-RRB- -RRB-))))))#
200060701	defeminise	remove	ovaries	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS ovaries))(PP (IN of)(-LRB- -LRB-)(NP (NP (JJ female)(NNS mammals))(PP (JJ such)(IN as)(NP (NNS cats))))(-RRB- -RRB-))))))#
200060833	emasculate	remove	testicles	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS testicles))(PP (IN of)(NP (DT a)(NN male)(NN animal)))))))#
200060833	castrate	remove	testicles	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS testicles))(PP (IN of)(NP (DT a)(NN male)(NN animal)))))))#
200060833	demasculinize	remove	testicles	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS testicles))(PP (IN of)(NP (DT a)(NN male)(NN animal)))))))#
200060833	demasculinise	remove	testicles	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS testicles))(PP (IN of)(NP (DT a)(NN male)(NN animal)))))))#
200061401	vasectomise	remove	deferens	(S1 (S (VP (VB remove)(NP (DT the)(JJ vas)(NNS deferens)))))#
200061401	vasectomize	remove	deferens	(S1 (S (VP (VB remove)(NP (DT the)(JJ vas)(NNS deferens)))))#
200061933	lift	perform	surgery	(S1 (S (VP (VB perform)(NP (NP (NN cosmetic)(NN surgery))(PP (IN on)(NP (NP (NN someone))('' '')(SBAR (S (NP (PRP s))(VP (VBP face))))))))))#
200061933	face-lift	perform	surgery	(S1 (S (VP (VB perform)(NP (NP (NN cosmetic)(NN surgery))(PP (IN on)(NP (NP (NN someone))('' '')(SBAR (S (NP (PRP s))(VP (VBP face))))))))))#
200062203	menstruate	undergo	menstruation	(S1 (S (VP (VB undergo)(NP (NN menstruation)))))#
200062203	flow	undergo	menstruation	(S1 (S (VP (VB undergo)(NP (NN menstruation)))))#
200064095	assuage	provide	pain	(S1 (S (VP (VB provide)(NP (NP (JJ physical)(NN relief))(, ,)(CONJP (RB as)(IN from))(NP (NN pain))))))#
200064095	relieve	provide	pain	(S1 (S (VP (VB provide)(NP (NP (JJ physical)(NN relief))(, ,)(CONJP (RB as)(IN from))(NP (NN pain))))))#
200064095	alleviate	provide	pain	(S1 (S (VP (VB provide)(NP (NP (JJ physical)(NN relief))(, ,)(CONJP (RB as)(IN from))(NP (NN pain))))))#
200064095	palliate	provide	pain	(S1 (S (VP (VB provide)(NP (NP (JJ physical)(NN relief))(, ,)(CONJP (RB as)(IN from))(NP (NN pain))))))#
200070633	concuss	injure	brain	(S1 (S (VP (VB injure)(NP (DT the)(NN brain)))))#(S1 (S (VP (VB sustain)(NP (DT a)(NN concussion)))))#
200072012	piss	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	wee-wee	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	wee	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	spend a penny	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	take a leak	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	relieve oneself	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	make water	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	pass water	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	pee-pee	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	micturate	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	puddle	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	piddle	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	urinate	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	make	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200072012	pee	eliminate	urine	(S1 (S (VP (VB eliminate)(NP (NN urine)))))#
200077458	gag	make	effort	(S1 (S (VP (VB make)(NP (DT an)(JJ unsuccessful)(NN effort)(S (VP (TO to)(VP (VB vomit))))))))#
200077458	heave	make	effort	(S1 (S (VP (VB make)(NP (DT an)(JJ unsuccessful)(NN effort)(S (VP (TO to)(VP (VB vomit))))))))#
200077458	retch	make	effort	(S1 (S (VP (VB make)(NP (DT an)(JJ unsuccessful)(NN effort)(S (VP (TO to)(VP (VB vomit))))))))#
200079470	correct	treat	defect	(S1 (S (VP (VB treat)(NP (DT a)(NN defect)))))#
200082081	help	improve	condition	(S1 (S (VP (VB improve)(NP (NP (DT the)(NN condition))(PP (IN of))))))#
200082081	aid	improve	condition	(S1 (S (VP (VB improve)(NP (NP (DT the)(NN condition))(PP (IN of))))))#
200082308	ease	lessen	discomfort	(S1 (S (VP (VB lessen)(NP (NP (NN pain))(CC or)(NP (NN discomfort))))))#
200082308	comfort	lessen	discomfort	(S1 (S (VP (VB lessen)(NP (NP (NN pain))(CC or)(NP (NN discomfort))))))#
200086077	phlebotomise	draw	blood	(S1 (S (VP (VB draw)(NP (NN blood)))))#
200086077	phlebotomize	draw	blood	(S1 (S (VP (VB draw)(NP (NN blood)))))#
200086077	bleed	draw	blood	(S1 (S (VP (VB draw)(NP (NN blood)))))#
200086077	leech	draw	blood	(S1 (S (VP (VB draw)(NP (NN blood)))))#
200095747	leaf	produce	leaves	(S1 (S (VP (VB produce)(NP (NP (NNS leaves))(, ,)(PP (IN of)(NP (NNS plants)))))))#
200095870	pod	produce	pods	(S1 (S (VP (VB produce)(NP (NP (NNS pods))(, ,)(PP (IN of)(NP (NNS plants)))))))#
200095990	teethe	grow	teeth	(S1 (S (VP (VB grow)(NP (NNS teeth)))))#(S1 (S (VP (VB cut)(NP (DT the)(NN baby)(NNS teeth)))))#
200096264	ankylose	undergo	ankylosis	(S1 (S (VP (VB undergo)(NP (NNS ankylosis)))))#
200096264	ancylose	undergo	ankylosis	(S1 (S (VP (VB undergo)(NP (NNS ankylosis)))))#
200097394	necrose	undergo	necrosis	(S1 (S (VP (VB undergo)(NP (NNS necrosis)))))#
200097394	gangrene	undergo	necrosis	(S1 (S (VP (VB undergo)(NP (NNS necrosis)))))#
200097394	mortify	undergo	necrosis	(S1 (S (VP (VB undergo)(NP (NNS necrosis)))))#
200097394	sphacelate	undergo	necrosis	(S1 (S (VP (VB undergo)(NP (NNS necrosis)))))#
200097621	revitalize	restore	strength	(S1 (S (VP (VB restore)(NP (NN strength)))))#
200097621	regenerate	restore	strength	(S1 (S (VP (VB restore)(NP (NN strength)))))#
200097941	regenerate	undergo	regeneration	(S1 (S (VP (VB undergo)(NP (NN regeneration)))))#
200098963	scab	form	scab	(S1 (S (VP (VB form)(NP (DT a)(NN scab)))))#
200099374	granulate	form	tissue	(S1 (S (VP (VB form)(NP (JJ granulating)(NN tissue)))))#
200100410	roll	execute	roll	(S1 (S (VP (VB execute)(NP (NP (DT a)(NN roll))(, ,)(PP (IN in)(S (VP (VBG tumbling))))))))#
200102791	salivate	produce	saliva	(S1 (S (VP (VB produce)(NP (FW saliva)))))#
200107739	fracture	fracture	bone	(S1 (S (VP (VB fracture)(NP (NP (DT a)(NN bone))(PP (IN of))))))#
200107739	break	fracture	bone	(S1 (S (VP (VB fracture)(NP (NP (DT a)(NN bone))(PP (IN of))))))#
200109660	change	undergo	change	(S1 (S (VP (VB undergo)(NP (DT a)(NN change)))))#
200113728	gel	become	gel	(S1 (S (VP (VB become)(NP (DT a)(NN gel)))))#
200114837	convert	undergo	change	(S1 (S (VP (VB undergo)(NP (DT a)(NN chemical)(NN change)))))#
200115157	convert	change	function	(S1 (S (VP (VB change)(NP (NP (DT the)(NN nature)(, ,)(NN purpose)(, ,)(CC or)(NN function))(PP (IN of)(NP (NN something)))))))#
200118922	sit tight	maintain	position	(S1 (S (VP (VB maintain)(NP (DT the)(JJ same)(NN position)))))#
200119873	mutate	undergo	mutation	(S1 (S (VP (VB undergo)(NP (NN mutation)))))#
200121387	spell	take	turns	(S1 (S (VP (VB take)(NP (NNS turns)(VBG working)))))#
200123894	modulate	vary	characteristic	(S1 (S (VP (VB vary)(NP (NP (DT the)(NN frequency))(, ,)(NP (NN amplitude))(, ,)(NP (NN phase))(, ,)(CC or)(NP (NP (JJ other)(NN characteristic))(PP (IN of)(NP (-LRB- -LRB-)(NP (JJ electromagnetic)(NNS waves))(-RRB- -RRB-))))))))#
200125289	roll	take	shape	(S1 (S (VP (VB take)(NP (NP (DT the)(NN shape))(PP (IN of)(NP (DT a)(NN roll)(CC or)(NN cylinder)))))))#
200126264	change	cause	transformation	(S1 (S (VP (VB cause)(NP (DT a)(NN transformation)))))#
200126264	alter	cause	transformation	(S1 (S (VP (VB cause)(NP (DT a)(NN transformation)))))#
200126264	modify	cause	transformation	(S1 (S (VP (VB cause)(NP (DT a)(NN transformation)))))#
200134898	alkalinize	become	alkaline	(S1 (S (VP (VB become)(NP (NN alkaline)))))#
200134898	alkalinise	become	alkaline	(S1 (S (VP (VB become)(NP (NN alkaline)))))#
200137940	repercuss	cause	repercussions	(S1 (S (VP (VB cause)(NP (NNS repercussions)))))#
200139160	turn the tables	cause	reversal	(S1 (S (VP (VB cause)(NP (NP (DT a)(JJ complete)(NN reversal))(PP (IN of)(NP (DT the)(NNS circumstances)))))))#
200139160	turn the tide	cause	reversal	(S1 (S (VP (VB cause)(NP (NP (DT a)(JJ complete)(NN reversal))(PP (IN of)(NP (DT the)(NNS circumstances)))))))#
200142055	constellate	form	cluster	(S1 (S (VP (VB form)(NP (DT a)(NN constellation)(CC or)(NN cluster)))))#
200144544	plume	form	plume	(S1 (S (VP (VB form)(NP (DT a)(NN plume)))))#
200144694	conglobate	assume	shape	(S1 (S (VP (VB assume)(NP (DT a)(JJ globular)(NN shape)))))#
200144694	conglobe	assume	shape	(S1 (S (VP (VB assume)(NP (DT a)(JJ globular)(NN shape)))))#
200145147	round off	make	round	(S1 (S (VP (VB make)(NP (NN round)))))#
200145147	round	make	round	(S1 (S (VP (VB make)(NP (NN round)))))#
200145147	round out	make	round	(S1 (S (VP (VB make)(NP (NN round)))))#
200146138	turn	undergo	change	(S1 (S (VP (VB undergo)(NP (NP (DT a)(NN transformation))(CC or)(NP (NP (DT a)(NN change))(PP (IN of)(NP (NN position)(CC or)(NN action))))))))#
200146138	change state	undergo	change	(S1 (S (VP (VB undergo)(NP (NP (DT a)(NN transformation))(CC or)(NP (NP (DT a)(NN change))(PP (IN of)(NP (NN position)(CC or)(NN action))))))))#
200156276	ease up	reduce	intensity	(S1 (S (VP (VB reduce)(NP (NP (NN pressure))(CC or)(NP (NN intensity))))))#
200156276	ease off	reduce	intensity	(S1 (S (VP (VB reduce)(NP (NP (NN pressure))(CC or)(NP (NN intensity))))))#
200156276	let up	reduce	intensity	(S1 (S (VP (VB reduce)(NP (NP (NN pressure))(CC or)(NP (NN intensity))))))#
200158503	raise	raise	amount	(S1 (S (VP (VB raise)(NP (NP (DT the)(NN level)(CC or)(NN amount))(PP (IN of)(NP (NN something)))))))#
200162549	transduce	cause	transduction	(S1 (S (VP (VB cause)(NP (NP (NN transduction))(PRN (-LRB- -LRB-)(PP (IN of)(NP (NN energy)(NNS forms)))(-RRB- -RRB-))))))#
200170381	attemper	modify	temperature	(S1 (S (VP (VB modify)(NP (NP (DT the)(NN temperature))(PP (IN of))))))#
200171458	modulate	adjust	volume	(S1 (S (VP (VB adjust)(NP (NP (DT the)(NN pitch))(, ,)(NP (NN tone))(, ,)(CC or)(NP (NP (NN volume))(PP (IN of)))))))#
200172258	redevelop	change	plans	(S1 (S (VP (VB change)(NP (NP (DT the)(NNS plans))(PP (IN for)(NP (NP (DT the)(NN use))(PP (IN of)(NP (-LRB- -LRB-)(NP (NN land))(-RRB- -RRB-)))))))))#
200173159	choke	reduce	supply	(S1 (S (VP (VB reduce)(NP (DT the)(NN air)(NN supply)))))#
200173159	throttle	reduce	supply	(S1 (S (VP (VB reduce)(NP (DT the)(NN air)(NN supply)))))#
200176618	exenterate	remove	contents	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS contents))(PP (IN of)(NP (-LRB- -LRB-)(NP (DT an)(NN organ))(-RRB- -RRB-)))))))#
200176874	decorticate	remove	cortex	(S1 (S (VP (VB remove)(NP (NP (DT the)(NN cortex))(PP (IN of)(NP (-LRB- -LRB-)(NP (DT an)(NN organ))(-RRB- -RRB-)))))))#
200177578	ablate	remove	structure	(S1 (S (VP (VB remove)(NP (DT an)(NN organ)(CC or)(JJ bodily)(NN structure)))))#
200181005	hypophysectomise	remove	glands	(S1 (S (VP (VB remove)(NP (DT the)(JJ pituitary)(NNS glands)))))#
200181005	hypophysectomize	remove	glands	(S1 (S (VP (VB remove)(NP (DT the)(JJ pituitary)(NNS glands)))))#
200182406	add	increase	scope	(S1 (S (VP (VB increase)(NP (NP (DT the)(NN quality)(, ,)(NN quantity)(, ,)(NN size)(CC or)(NN scope))(PP (IN of))))))#
200183241	gild the lily	make	additions	(S1 (S (VP (VB make)(NP (NP (JJ unnecessary)(NNS additions))(PP (TO to)(SBAR (WHNP (WP what))(S (VP (AUX is)(ADVP (RB already))(ADJP (JJ complete))))))))))#
200183241	paint the lily	make	additions	(S1 (S (VP (VB make)(NP (NP (JJ unnecessary)(NNS additions))(PP (TO to)(SBAR (WHNP (WP what))(S (VP (AUX is)(ADVP (RB already))(ADJP (JJ complete))))))))))#
200183757	add on	make	addition	(S1 (S (VP (VB make)(NP (DT an)(NN addition)))))#
200193328	deaden	lose	vigor	(S1 (S (VP (VB lose)(NP (NN life)(, ,)(NN force)(, ,)(CC or)(NN vigor)))))#
200194079	strip	draw	milk	(S1 (S (VP (VB draw)(NP (NP (DT the)(JJ last)(NN milk))(PRN (-LRB- -LRB-)(PP (IN of)(NP (NNS cows)))(-RRB- -RRB-))))))#
200194170	milk	take	milk	(S1 (S (VP (VB take)(NP (NP (NN milk))(PP (IN from)(NP (JJ female)(NNS mammals)))))))#
200194812	strip	remove	thread	(S1 (S (VP (VB remove)(NP (NP (DT the)(NN thread))(PRN (-LRB- -LRB-)(PP (IN of)(NP (NNS screws)))(-RRB- -RRB-))))))#
200197318	disbud	destroy	horn	(S1 (S (VP (VB destroy)(NP (NP (JJ undeveloped)(NN horn)(NNS buds))(PRN (-LRB- -LRB-)(PP (IN of)(NP (NNS cattle)))(-RRB- -RRB-))))))#
200198213	tusk	remove	tusks	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS tusks))(PP (IN of)(NP (NNS animals)))))))#
200198213	detusk	remove	tusks	(S1 (S (VP (VB remove)(NP (NP (DT the)(NNS tusks))(PP (IN of)(NP (NNS animals)))))))#
200198367	dehorn	prevent	growth	(S1 (S (VP (VB prevent)(NP (NP (DT the)(NN growth))(PP (IN of)(NP (NP (NNS horns))(PP (IN of)(NP (JJ certain)(NNS animals)))))))))#
200203213	abuse	change	function	(S1 (S (VP (VB change)(NP (NP (DT the)(JJ inherent)(NN purpose)(CC or)(NN function))(PP (IN of)(NP (NN something)))))))#
200203213	misuse	change	function	(S1 (S (VP (VB change)(NP (NP (DT the)(JJ inherent)(NN purpose)(CC or)(NN function))(PP (IN of)(NP (NN something)))))))#
200203213	pervert	change	function	(S1 (S (VP (VB change)(NP (NP (DT the)(JJ inherent)(NN purpose)(CC or)(NN function))(PP (IN of)(NP (NN something)))))))#
200207728	cheapen	lower	grade	(S1 (S (VP (VB lower)(NP (NP (DT the)(NN grade))(PP (IN of)(NP (NN something)))))))#(S1 (S (VP (VB reduce)(NP (PRPs its)(NN worth)))))#
200207728	degrade	lower	grade	(S1 (S (VP (VB lower)(NP (NP (DT the)(NN grade))(PP (IN of)(NP (NN something)))))))#(S1 (S (VP (VB reduce)(NP (PRPs its)(NN worth)))))#
200211108	exsiccate	lose	moisture	(S1 (S (VP (VB lose)(NP (NN water)(CC or)(NN moisture)))))#
200211108	dehydrate	lose	moisture	(S1 (S (VP (VB lose)(NP (NN water)(CC or)(NN moisture)))))#
200211108	dry up	lose	moisture	(S1 (S (VP (VB lose)(NP (NN water)(CC or)(NN moisture)))))#
200211108	desiccate	lose	moisture	(S1 (S (VP (VB lose)(NP (NN water)(CC or)(NN moisture)))))#
200220461	strengthen	gain	strength	(S1 (S (VP (VB gain)(NP (NN strength)))))#
200224295	die	suffer	death	(S1 (S (VP (VB suffer)(NP (JJ spiritual)(NN death)))))#
200224460	collapse	lose	value	(S1 (S (VP (VB lose)(NP (NP (NN significance))(, ,)(NP (NN effectiveness))(, ,)(CC or)(NP (NN value))))))#
200224901	weaken	lessen	strength	(S1 (S (VP (VB lessen)(NP (NP (DT the)(NN strength))(PP (IN of))))))#
200226071	cut	lessen	flavor	(S1 (S (VP (VB lessen)(NP (NP (DT the)(NN strength)(CC or)(NN flavor))(PP (IN of)(NP (NP (DT a)(NN solution))(CC or)(NP (NN mixture))))))))#
200226071	dilute	lessen	flavor	(S1 (S (VP (VB lessen)(NP (NP (DT the)(NN strength)(CC or)(NN flavor))(PP (IN of)(NP (NP (DT a)(NN solution))(CC or)(NP (NN mixture))))))))#
200226071	thin	lessen	flavor	(S1 (S (VP (VB lessen)(NP (NP (DT the)(NN strength)(CC or)(NN flavor))(PP (IN of)(NP (NP (DT a)(NN solution))(CC or)(NP (NN mixture))))))))#
200226071	thin out	lessen	flavor	(S1 (S (VP (VB lessen)(NP (NP (DT the)(NN strength)(CC or)(NN flavor))(PP (IN of)(NP (NP (DT a)(NN solution))(CC or)(NP (NN mixture))))))))#
200226071	reduce	lessen	flavor	(S1 (S (VP (VB lessen)(NP (NP (DT the)(NN strength)(CC or)(NN flavor))(PP (IN of)(NP (NP (DT a)(NN solution))(CC or)(NP (NN mixture))))))))#
200226379	attenuate	weaken	consistency	(S1 (S (VP (VB weaken)(NP (NP (DT the)(NN consistency))(PP (IN of)(NP (-LRB- -LRB-)(NP (DT a)(NN chemical)(NN substance))(-RRB- -RRB-)))))))#
200226379	rarefy	weaken	consistency	(S1 (S (VP (VB weaken)(NP (NP (DT the)(NN consistency))(PP (IN of)(NP (-LRB- -LRB-)(NP (DT a)(NN chemical)(NN substance))(-RRB- -RRB-)))))))#
200228858	moonshine	produce	moonshine	(S1 (S (VP (VB produce)(NP (NN moonshine)))))#
200229026	distill	undergo	process	(S1 (S (VP (VB undergo)(NP (NP (DT the)(NN process))(PP (IN of)(NP (NN distillation)))))))#
200229026	distil	undergo	process	(S1 (S (VP (VB undergo)(NP (NP (DT the)(NN process))(PP (IN of)(NP (NN distillation)))))))#
200230276	follow up	increase	success	(S1 (S (VP (VB increase)(NP (NP (DT the)(NN effectiveness))(CC or)(NP (NP (NN success))(PP (IN of)(PP (IN by)(NP (JJ further)(NN action)))))))))#
200232388	vegetate	produce	vegetation	(S1 (S (VP (VB produce)(NP (NN vegetation)))))#
200234988	baffle	check	emission	(S1 (S (VP (VB check)(NP (NP (DT the)(NN emission))(PP (IN of)(PRN (-LRB- -LRB-)(INTJ (VB sound))(-RRB- -RRB-)))))))#
200234988	regulate	check	emission	(S1 (S (VP (VB check)(NP (NP (DT the)(NN emission))(PP (IN of)(PRN (-LRB- -LRB-)(INTJ (VB sound))(-RRB- -RRB-)))))))#
200236104	cap	restrict	amount	(S1 (S (VP (VB restrict)(NP (NP (DT the)(NN number)(CC or)(NN amount))(PP (IN of))))))#
200247702	manifold	make	copies	(S1 (S (VP (VB make)(NP (NP (JJ multiple)(NNS copies))(PP (IN of))))))#
200250181	mature	undergo	maturation	(S1 (S (VP (VB undergo)(NP (NN maturation)))))#
200250181	maturate	undergo	maturation	(S1 (S (VP (VB undergo)(NP (NN maturation)))))#
200250181	grow	undergo	maturation	(S1 (S (VP (VB undergo)(NP (NN maturation)))))#
200255079	incrust	form	layer	(S1 (S (VP (VB form)(NP (NP (DT a)(NN crust))(CC or)(NP (DT a)(JJ hard)(NN layer))))))#
200255079	encrust	form	layer	(S1 (S (VP (VB form)(NP (NP (DT a)(NN crust))(CC or)(NP (DT a)(JJ hard)(NN layer))))))#
200255752	callus	form	calluses	(S1 (S (VP (VB form)(NP (NP (DT a)(NN callus))(CC or)(NP (NNS calluses))))))#
200255880	callus	cause	callus	(S1 (S (VP (VB cause)(NP (DT a)(NN callus)(S (VP (TO to)(VP (VB form)(PRT (RP on)))))))))#
200261957	point	repair	joints	(S1 (S (VP (VB repair)(NP (NP (DT the)(NNS joints))(PP (IN of)(NP (NNS bricks)))))))#
200261957	repoint	repair	joints	(S1 (S (VP (VB repair)(NP (NP (DT the)(NNS joints))(PP (IN of)(NP (NNS bricks)))))))#
200262549	trouble-shoot	solve	problems	(S1 (S (VP (VB solve)(NP (NNS problems)))))#
200262549	troubleshoot	solve	problems	(S1 (S (VP (VB solve)(NP (NNS problems)))))#
200263904	amplify	increase	volume	(S1 (S (VP (VB increase)(NP (NP (DT the)(NN volume))(PP (IN of))))))#
200266197	polymerize	undergo	polymerization	(S1 (S (VP (VB undergo)(NP (NN polymerization)))))#
200266197	polymerise	undergo	polymerization	(S1 (S (VP (VB undergo)(NP (NN polymerization)))))#
200267249	ossify	become	bony	(S1 (S (VP (VB become)(NP (NN bony)))))#
200269423	freeze	prohibit	use	(S1 (S (VP (VB prohibit)(NP (NP (DT the)(NN conversion)(CC or)(NN use))(PP (IN of)(NP (-LRB- -LRB-)(NP (NNS assets))(-RRB- -RRB-)))))))#
200269423	block	prohibit	use	(S1 (S (VP (VB prohibit)(NP (NP (DT the)(NN conversion)(CC or)(NN use))(PP (IN of)(NP (-LRB- -LRB-)(NP (NNS assets))(-RRB- -RRB-)))))))#
200269423	immobilize	prohibit	use	(S1 (S (VP (VB prohibit)(NP (NP (DT the)(NN conversion)(CC or)(NN use))(PP (IN of)(NP (-LRB- -LRB-)(NP (NNS assets))(-RRB- -RRB-)))))))#
200269423	immobilise	prohibit	use	(S1 (S (VP (VB prohibit)(NP (NP (DT the)(NN conversion)(CC or)(NN use))(PP (IN of)(NP (-LRB- -LRB-)(NP (NNS assets))(-RRB- -RRB-)))))))#
200274724	fret	remove	rock	(S1 (S (VP (VB remove)(NP (NN soil)(CC or)(NN rock)))))#
200274724	eat away	remove	rock	(S1 (S (VP (VB remove)(NP (NN soil)(CC or)(NN rock)))))#
200274724	erode	remove	rock	(S1 (S (VP (VB remove)(NP (NN soil)(CC or)(NN rock)))))#
200282523	turn	change	color	(S1 (S (VP (VB change)(NP (NN color)))))#
