ID	Word	W1	W2	DEF_SYNT
57	tramontane	cold	wind	(S1 (NP (DT a) (JJ cold) (JJ dry) (NN wind) (SBAR (IN that) (S (NP (NNS blows)) (ADVP (RB south)) (PP (IN out) (PP (IN of) (NP (NP (DT the) (NNS mountains)) (PP (IN into) (NP (NP (NNP Italy)) (CC and) (NP (DT the) (JJ western) (NNP Mediterranean)))))))))))#
58	civilised	civilized	state	(S1 (S (VP (VB raise) (PP (IN from) (NP (DT a) (NN barbaric))) (PP (TO to) (NP (DT a) (JJ civilized) (NN state))))))#
59	speckless	small	part	(S1 (NP (NP (DT a) (JJ small) (VBG contrasting) (NN part)) (PP (IN of) (NP (NN something)))))#
60	speckless	produce	effect	(S1 (S (VP (VB produce) (NP (DT a) (JJ mottled) (NN effect)))))#
61	speckless	small	spots	(S1 (S (VP (VB mark) (PP (IN with) (NP (JJ small) (NNS spots))))))#
62	clear-cut	remove	trees	(S1 (S (VP (VB remove) (NP (PDT all) (DT the) (NNS trees)) (PP (IN at) (NP (CD one) (NN time))))))#
63	hyaloid	transparent	membrane	(S1 (S (NP (DT the) (JJ transparent) (NN membrane)) (VP (VP (VBG enveloping) (NP (NP (DT the) (JJ vitreous) (NN humor)) (PP (IN of) (NP (DT the) (NN eye))))) (CC and) (VP (VBG separating) (NP (PRP it)) (PP (IN from) (NP (DT the) (NN retina)))))))#
64	appareled	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
65	garmented	put	clothes	(S1 (S (VP (VP (VB provide) (PP (IN with) (NP (NNS clothes)))) (CC or) (VP (VB put) (NP (NNS clothes)) (PP (IN on))))))#
66	publicised	call	attention	(S1 (NP (NP (JJ call) (NN attention)) (X (TO to))))#
67	realised	supplying	harmonies	(S1 (S (VP (VB expand) (CC or) (VB complete) (PRN (-LRB- -LRB-) (NP (NP (DT a) (NN part)) (PP (IN in) (NP (NP (DT a) (NN piece)) (PP (IN of) (NP (JJ baroque) (NN music)))))) (-RRB- -RRB-)) (PP (IN by) (S (VP (VBG supplying) (NP (NP (DT the) (NNS harmonies)) (VP (VBN indicated) (PP (IN in) (NP (DT the) (VBN figured) (NN bass)))))))))))#
68	realised	give	reality	(S1 (S (S (VP (VB make) (S (ADJP (JJ real) (CC or) (JJ concrete))))) (: ;) (S (VP (VB give) (NP (NN reality) (CC or) (NN substance)) (PP (TO to))))))#
69	discomposed	lose	composure	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB lose) (NP (NP (CD one) (POS 's)) (NN composure))))))))#
70	shut-in	chronic	illness	(S1 (NP (NP (NN someone)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBN incapacitated) (PP (IN by) (NP (NP (DT a) (JJ chronic) (NN illness)) (CC or) (NP (NN injury))))))))))#
71	copulative	equating	verb	(S1 (NP (NP (DT an) (JJ equating) (NN verb)) (PRN (-LRB- -LRB-) (PP (JJ such) (IN as) (`` `) (S (VP (VB be) ('' ') (CC or) (`` `) (VB become))) ('' ')) (-RRB- -RRB-)) (SBAR (WHNP (WDT that)) (S (VP (VBZ links) (NP (NP (DT the) (NN subject)) (PP (IN with) (NP (NP (DT the) (VB complement)) (PP (IN of) (NP (DT a) (NN sentence)))))))))))#
72	socialised	take	part	(S1 (S (S (VP (VB take) (NP (NN part)) (PP (IN in) (NP (JJ social) (NNS activities))))) (: ;) (S (VP (VB interact) (PP (IN with) (NP (NNS others)))))))#
73	socialised	social	environment	(S1 (S (VP (VB train) (PP (IN for) (NP (DT a) (JJ social) (NN environment))))))#
74	socialised	social	life	(S1 (S (VP (VB prepare) (PP (IN for) (NP (JJ social) (NN life))))))#
75	socialised	socialist	ideas	(S1 (S (VP (VB make) (S (VP (VB conform) (PP (TO to) (NP (JJ socialist) (NNS ideas) (CC and) (NNS philosophies))))))))#
76	eristic	logical	disputation	(S1 (NP (NP (NP (DT the) (NN art)) (PP (IN of) (NP (JJ logical) (NN disputation)))) (PRN (-LRB- -LRB-) (PP (ADVP (RB especially)) (IN if) (ADJP (JJ specious))) (-RRB- -RRB-))))#
77	aery	high	altitude	(S1 (NP (NP (DT any) (NN habitation)) (PP (IN at) (NP (DT a) (JJ high) (NN altitude)))))#
78	travelled	change	location	(S1 (S (S (VP (VB change) (NP (NN location)))) (: ;) (S (VP (VB move) (, ,) (VB travel) (, ,) (CC or) (VB proceed) (, ,) (ADVP (RB also)) (ADVP (RB metaphorically))))))#
79	travelled	undertake	journey	(S1 (S (VP (VB undertake) (NP (DT a) (NN journey) (CC or) (NN trip)))))#
80	travelled	make	trip	(S1 (S (VP (VB make) (NP (NP (DT a) (NN trip)) (PP (IN for) (NP (NN pleasure)))))))#
81	travelled	undergo	transportation	(S1 (S (VP (VB undergo) (NP (NN transportation)) (PP (IN as) (PP (IN in) (NP (DT a) (NN vehicle)))))))#
82	travelled	finding	work	(S1 (NP (NP (NN travel)) (PP (PP (IN from) (NP (NN place))) (PP (TO to) (NP (NN place)))) (, ,) (PP (IN as) (PP (IN for) (NP (NP (DT the) (NN purpose)) (PP (IN of) (S (VP (VP (VBG finding) (NP (NN work))) (, ,) (VP (VBG preaching)) (, ,) (CC or) (VP (VBG acting) (PP (IN as) (NP (DT a) (NN judge))))))))))))#
83	aperient	stimulates	evacuation	(S1 (NP (NP (DT a) (VBG purging) (NN medicine)) (: ;) (NP (NP (JJ stimulates) (NN evacuation)) (PP (IN of) (NP (DT the) (NNS bowels))))))#
84	decussate	form	cross	(S1 (S (VP (VB cross) (CC or) (VB intersect) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB form) (NP (DT a) (NN cross)))))))))#
85	crystallised	take	shape	(S1 (S (VP (VB cause) (S (VP (TO to) (VP (VB take) (PRT (RP on)) (NP (DT a) (ADJP (JJ definite) (CC and) (JJ clear)) (NN shape))))))))#
86	three-d	dimensional	form	(S1 (NP (NP (DT a) (NN movie)) (PP (IN with) (NP (NP (NNS images)) (VP (VBG having) (NP (NP (CD three) (JJ dimensional) (NN form)) (CC or) (NP (NN appearance))))))))#
87	three-d	three-dimensional	form	(S1 (S (VP (VBG having) (NP (DT a) (JJ three-dimensional) (NN form) (CC or) (NN appearance)))))#
88	curst	utter	obscenities	(S1 (NP (JJ utter) (NNS obscenities) (CC or) (NNS profanities)))#
89	curst	wish	harm	(S1 (S (S (VP (VB wish) (NP (NN harm)) (PP (IN upon)))) (: ;) (S (VP (VB invoke) (ADJP (JJ evil)) (PP (IN upon))))))#
90	curst	religious	community	(S1 (S (VP (VB exclude) (PP (IN from) (NP (NP (DT a) (NN church)) (CC or) (NP (DT a) (JJ religious) (NN community)))))))#
91	maledict	wish	harm	(S1 (S (S (VP (VB wish) (NP (NN harm)) (PP (IN upon)))) (: ;) (S (VP (VB invoke) (ADJP (JJ evil)) (PP (IN upon))))))#
92	tailor-made	custom-made	clothing	(S1 (NP (JJ custom-made) (NN clothing)))#
93	ready-made	manufactured	artifact	(S1 (NP (NP (DT a) (JJ manufactured) (NN artifact)) (PRN (-LRB- -LRB-) (PP (IN as) (NP (NP (DT a) (NN garment) (CC or) (NN piece)) (PP (IN of) (NP (NN furniture))))) (-RRB- -RRB-)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (VP (VBN made) (PP (IN in) (NP (NN advance)))) (CC and) (VP (ADJP (JJ available)) (PP (IN for) (NP (NN purchase))))))))))#
94	ready-to-wear	ready-made	clothing	(S1 (NP (JJ ready-made) (NN clothing)))#
95	oversewn	close	stitches	(S1 (NP (NP (NNP sew)) (PRN (-LRB- -LRB-) (NP (CD two) (NNS edges)) (-RRB- -RRB-)) (PP (IN with) (NP (NP (JJ close) (NNS stitches)) (SBAR (WHNP (WDT that)) (S (VP (VBP pass) (PP (IN over) (NP (NP (PRP them)) (NP (DT both)))))))))))#
96	mass-produced	large	scale	(S1 (S (VP (VB produce) (PP (IN on) (NP (DT a) (JJ large) (NN scale))))))#
97	tatterdemalion	dirty	urchin	(S1 (NP (DT a) (JJ dirty) (ADJP (RB shabbily) (VBN clothed)) (NN urchin)))#
98	deaf-mute	deaf	person	(S1 (NP (NP (DT a) (JJ deaf) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (ADJP (JJ unable) (S (VP (TO to) (VP (VB speak))))))))))#
99	walk-in	own	defection	(S1 (NP (NP (DT an) (NN operative)) (SBAR (WHNP (WP who)) (S (VP (VBZ initiates) (NP (PRP$ his) (JJ own) (NN defection)) (PRN (-LRB- -LRB-) (ADVP (RB usually)) (PP (TO to) (NP (DT a) (JJ hostile) (NN country))) (-RRB- -RRB-)) (PP (IN for) (NP (JJ political) (NN asylum))))))))#
100	walk-in	assured	victory	(S1 (NP (NP (DT an) (JJ assured) (NN victory)) (PRN (-LRB- -LRB-) (PP (ADVP (RB especially)) (IN in) (NP (DT an) (NN election))) (-RRB- -RRB-))))#
101	walk-in	small	room	(S1 (S (NP (DT a) (JJ small) (NN room)) (ADJP (JJ large) (RB enough) (S (VP (TO to) (VP (VB admit) (NP (NN entrance))))))))#
102	plagiarised	intellectual	property	(S1 (S (VP (VB take) (PP (IN without) (S (VP (VBG referencing) (PP (IN from) (NP (NP (NN someone) (RB else) (POS 's) (NN writing) (CC or) (NN speech)) (: ;) (PP (IN of) (NP (JJ intellectual) (NN property)))))))))))#
103	spoilt	make	mess	(S1 (S (VP (VB make) (NP (NP (DT a) (NN mess)) (PP (IN of) (PRN (, ,) (S (VP (VB destroy) (CC or) (VB ruin)))))))))#
104	spoilt	excessive	indulgence	(S1 (S (VP (VB treat) (PP (IN with) (NP (JJ excessive) (NN indulgence))))))#
105	spoilt	have	desire	(S1 (S (VP (VP (VB have) (NP (DT a) (JJ strong) (NN desire))) (CC or) (VP (VB urge) (S (VP (TO to) (VP (VB do) (NP (NN something)))))))))#
106	dedifferentiated	lose	specialization	(S1 (S (VP (VB lose) (NP (NN specialization)) (PP (IN in) (NP (NP (NN form)) (CC or) (NP (NN function)))))))#
107	plantigrade	entire	sole	(S1 (NP (NP (DT an) (NN animal)) (SBAR (WHNP (WDT that)) (S (VP (VBZ walks) (PP (IN with) (S (NP (NP (DT the) (JJ entire) (NN sole)) (PP (IN of) (NP (DT the) (NN foot)))) (VP (VBG touching) (NP (DT the) (NN ground)) (PP (IN as) (NP (NP (JJ e.g.) (NNS bears)) (CC and) (NP (JJ human) (NNS beings))))))))))))#
108	diacritic	special	pronunciation	(S1 (S (NP (DT a) (NN mark)) (VP (VBN added) (PP (TO to) (NP (NP (DT a) (NN letter)) (SBAR (S (VP (TO to) (VP (VB indicate) (NP (DT a) (JJ special) (NN pronunciation)))))))))))#
109	narcotised	administer	narcotics	(S1 (S (VP (VB administer) (NP (NNS narcotics)) (PP (TO to)))))#
110	energising	higher	energy	(S1 (S (VP (VB raise) (PP (TO to) (NP (DT a) (JJR higher) (NN energy) (NN level))))))#
111	laboured	strive	effort	(S1 (S (VP (VBP strive) (CC and) (VB make) (NP (DT an) (NN effort) (S (VP (TO to) (VP (VB reach) (NP (DT a) (NN goal)))))))))#
112	laboured	undergo	efforts	(S1 (S (VP (VB undergo) (NP (NP (DT the) (NNS efforts)) (PP (IN of) (NP (NN childbirth)))))))#
113	strong-arm	use	force	(S1 (S (VP (VB use) (NP (JJ physical) (NN force)) (PP (IN against)))))#
114	low-down	inside	information	(S1 (S (VP (VBG slang) (NP (NP (NNS terms)) (PP (IN for) (NP (JJ inside) (NN information)))))))#
115	free-lance	different	employers	(S1 (NP (NP (DT a) (NN writer) (CC or) (NN artist)) (SBAR (WHNP (WP who)) (S (VP (VBZ sells) (NP (NNS services)) (PP (TO to) (NP (JJ different) (NNS employers))) (PP (IN without) (NP (NP (DT a) (JJ long-term) (NN contract)) (PP (IN with) (NP (NP (DT any)) (PP (IN of) (NP (PRP them))))))))))))#
116	hypnotised	induce	hypnosis	(S1 (S (VP (VB induce) (NP (NNS hypnosis)) (PP (IN in)))))#
117	mesmerised	induce	hypnosis	(S1 (S (VP (VB induce) (NP (NNS hypnosis)) (PP (IN in)))))#
118	demoralising	lower	someone	(S1 (S (NP (NP (JJR lower) (NN someone) (POS 's)) (NNS spirits)) (: ;) (VP (VBP make) (VP (VBN downhearted)))))#
119	shrivelled	decrease	size	(S1 (S (VP (VB decrease) (PRT (RP in)) (NP (NP (NN size)) (, ,) (NP (NN range)) (, ,) (CC or) (NP (NN extent))))))#
120	entozoan	various	parasites	(S1 (NP (NP (DT any)) (PP (IN of) (NP (NP (JJ various) (NNS parasites)) (SBAR (WHNP (WDT that)) (S (VP (VBP live) (PP (IN in) (NP (NP (DT the) (JJ internal) (NNS organs)) (PP (IN of) (NP (NP (NNS animals)) (PRN (-LRB- -LRB-) (NP (ADJP (RB especially) (JJ intestinal)) (NNS worms)) (-RRB- -RRB-)))))))))))))#
121	galvanising	stimulate	muscles	(S1 (S (VP (VB stimulate) (-LRB- -LRB-) (NP (NNS muscles)) (-RRB- -RRB-) (PP (IN by) (S (VP (VBG administering) (NP (DT a) (NN shock))))))))#
122	nickel-and-dime	spend	money	(S1 (S (S (VP (VB spend) (NP (NN money)) (ADVP (RB frugally)))) (: ;) (S (VP (VB spend) (NP (RB as) (JJ little)) (SBAR (IN as) (FRAG (ADJP (JJ possible))))))))#
123	punic	ancient	Carthage	(S1 (NP (NP (DT the) (NNP Phoenician) (NN dialect)) (PP (IN of) (NP (JJ ancient) (NNP Carthage)))))#
124	two-timing	romantic	relationship	(S1 (S (VP (VB carry) (PP (IN on) (NP (NP (DT a) (JJ romantic) (NN relationship)) (PP (IN with) (NP (NP (CD two) (NNS people)) (PP (IN at) (NP (DT the) (JJ same) (NN time))))))))))#
125	larghetto	slow	tempo	(S1 (NP (LST (-LRB- -LRB-) (NN music) (-RRB- -RRB-)) (NP (DT a) (NN composition) (CC or) (NN passage)) (VP (VBN played) (PP (IN in) (NP (NP (DT a) (JJ slow) (NN tempo)) (ADJP (ADJP (RB slightly) (JJR faster) (PP (IN than) (NP (NN largo)))) (CC but) (ADJP (JJR slower))) (PP (IN than) (NP (FW adagio))))))))#
126	roly-poly	suet	pastry	(S1 (UCP (NP (NP (NN pudding)) (VP (VP (VBN made) (PP (IN of) (NP (NP (JJ suet) (NN pastry) (NN spread)) (PP (IN with) (NP (NN jam) (CC or) (NN fruit)))))) (CC and) (VP (VBD rolled) (PRT (RP up))))) (CC and) (ADJP (JJ baked) (CC or) (JJ steamed))))#
127	well-wishing	good	will	(S1 (NP (NP (DT an) (NN expression)) (PP (IN of) (NP (JJ good) (NN will))) (PP (IN from) (NP (NP (CD one) (NN person)) (PP (TO to) (NP (DT another)))))))#
128	antepenultimate	3rd	syllable	(S1 (NP (NP (DT the) (JJ 3rd) (NN syllable)) (PP (IN of) (NP (NP (DT a) (NN word) (NN counting)) (ADVP (RB back) (PP (IN from) (NP (DT the) (NN end))))))))#
129	crookback	abnormal	curvature	(S1 (NP (NP (DT a) (NN person)) (SBAR (WHNP (WP$ whose) (NN back)) (S (VP (VBZ is) (VP (VBN hunched) (PP (IN because) (IN of) (NP (NP (JJ abnormal) (NN curvature)) (PP (IN of) (NP (DT the) (JJ upper) (NN spine)))))))))))#
130	splayfoot	fallen	arch	(S1 (S (NP (NP (DT a) (NN foot)) (VP (VBN afflicted) (PP (IN with) (NP (DT a) (JJ fallen) (NN arch))))) (: ;) (ADVP (RB abnormally)) (VP (VP (VBN flattened)) (CC and) (VP (VBN spread) (PRT (RP out))))))#
131	buckram	coarse	cotton	(S1 (S (NP (NP (DT a) (JJ coarse) (NN cotton) (NN fabric)) (VP (VBN stiffened) (PP (IN with) (NP (NN glue))))) (: ;) (VP (VBN used) (PP (IN in) (S (VP (VP (VBG bookbinding)) (CC and) (VP (TO to) (VP (VB stiffen) (NP (NN clothing))))))))))#
132	quick-frozen	preserve	juices	(S1 (S (VP (VB freeze) (ADVP (RB rapidly)) (ADVP (RB so)) (SBAR (IN as) (S (VP (TO to) (VP (VB preserve) (NP (DT the) (JJ natural) (NNS juices) (CC and) (NNS flavors)))))))))#
133	accoutered	military	equipment	(S1 (S (VP (VB provide) (PP (IN with) (NP (JJ military) (NN equipment))))))#
134	accoutred	military	equipment	(S1 (S (VP (VB provide) (PP (IN with) (NP (JJ military) (NN equipment))))))#
135	transistorised	equip	circuit	(S1 (S (VP (VB equip) (-LRB- -LRB-) (NP (DT an) (JJ electronic) (NN circuit) (CC or) (NN device)) (-RRB- -RRB-) (PP (IN with) (NP (NNS transistors))))))#
