ID	Word	W1	W2	DEF_SYNT
18	alkalescent	become	alkaline	(S1 (S (S (VP (VBG tending) (S (VP (TO to) (VP (VB become) (NP (NN alkaline))))))) (: ;) (VP (ADVP (RB slightly)) (VBN alkaline))))#
19	alcalescent	become	alkaline	(S1 (S (S (VP (VBG tending) (S (VP (TO to) (VP (VB become) (NP (NN alkaline))))))) (: ;) (VP (ADVP (RB slightly)) (VBN alkaline))))#
20	base-forming	yielding	base	(S1 (S (VP (VBG yielding) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (JJ aqueous) (NN solution)))))))#
21	saltlike	resembling	compound	(S1 (S (VP (VBG resembling) (NP (NP (DT a) (NN compound)) (VP (VBN formed) (PP (IN by) (S (VP (VBG replacing) (NP (NN hydrogen)) (PP (IN in) (NP (NP (DT an) (NN acid)) (PP (IN by) (NP (DT a) (NN metal)))))))))))))#
22	amphiprotic	having	characteristics	(S1 (UCP (VP (VBG having) (NP (NP (NNS characteristics)) (PP (IN of) (NP (PDT both) (NP (DT an) (NN acid)) (CC and) (NP (DT a) (NN base)))))) (CC and) (ADJP (JJ capable) (PP (IN of) (S (VP (VBG reacting) (PP (IN as) (NP (DT either)))))))))#
23	acid-loving	requiring	pH	(S1 (S (VP (VBG thriving) (PP (IN in) (NP (NP (DT a) (ADJP (RB relatively) (JJ acidic)) (NN environment)) (PRN (-LRB- -LRB-) (PP (ADVP (RB especially)) (IN of) (NP (NP (NNS plants)) (VP (VBG requiring) (NP (DT a) (NN pH)) (PP (ADVP (RB well)) (IN below) (NP (CD 7)))))) (-RRB- -RRB-)))))))#
24	alkaline-loving	requiring	pH	(S1 (S (VP (VBG thriving) (PP (IN in) (NP (NP (DT a) (ADJP (RB relatively) (JJ alkaline)) (NN environment)) (PRN (: ;) (-LRB- -LRB-) (PP (ADVP (RB especially)) (IN of) (NP (NP (NNS plants)) (VP (VBG requiring) (NP (DT a) (NN pH)) (PP (IN above) (NP (CD 7)))))) (-RRB- -RRB-)))))))#
25	recognised	show	approval	(S1 (S (VP (VB show) (NP (NP (NN approval) (CC or) (NN appreciation)) (PP (IN of))))))#
26	unrecognised	having	reputation	(S1 (S (VP (RB not) (VBG having) (NP (DT a) (JJ secure) (NN reputation)))))#
27	predaceous	hunting	animals	(S1 (S (VP (VBG hunting) (CC and) (VBG killing) (NP (NP (JJ other) (NNS animals)) (PP (IN for) (NP (NN food)))))))#
28	unacquisitive	acquiring	anything	(S1 (FRAG (NP (RB not) (JJ acquisitive)) (: ;) (RB not) (ADJP (JJ interested) (PP (IN in) (S (VP (VBG acquiring) (CC or) (VBG owning) (NP (NN anything))))))))#
29	dead-end	lacking	opportunities	(S1 (S (VP (VBG lacking) (NP (NP (NNS opportunities)) (PP (IN for) (NP (NNP development) (CC or) (NNP advancement)))))))#
30	hands-on	involving	participation	(S1 (S (VP (VBG involving) (NP (JJ active) (NN participation)))))#
31	hands-off	involving	participation	(S1 (S (RB not) (VP (VBG involving) (NP (NN participation) (CC or) (NN intervention)))))#
32	stative	expressing	existence	(S1 (S (-LRB- -LRB-) (NP (UCP (VP (VBN used) (PP (IN of) (NP (NP (NNS verbs)) (PRN (-LRB- -LRB-) (NP (NP (NNS e.g.)) (VP (`` `) (VB be) ('' ') (CC or) (`` `) (JJ own) ('' '))) (-RRB- -RRB-))))) (CC and) (ADJP (RBS most) (JJ participial))) (NNS adjectives)) (-RRB- -RRB-) (VP (VBG expressing) (NP (NP (NP (NN existence)) (CC or) (NP (DT a) (NN state))) (CONJP (RB rather) (IN than)) (NP (DT an) (NN action))))))#
33	surface-active	lowering	surface	(S1 (S (ADJP (JJ capable) (PP (IN of) (S (VP (VBG lowering) (NP (NP (DT the) (NN surface) (NN tension)) (PP (IN of) (NP (DT a) (NN liquid)))))))) (: ;) (VP (VBD used) (NP (NP (RB especially)) (PP (IN of) (NP (NNS detergents)))))))#
34	avirulent	produce	disease	(S1 (NP (NP (RB not) (NN virulent)) (: ;) (NP (NP (JJ unable)) (SBAR (S (VP (TO to) (VP (VB produce) (NP (NN disease)))))))))#
35	adaptative	having	capacity	(S1 (S (VP (VBG having) (NP (NP (DT a) (NN capacity)) (PP (IN for) (NP (NN adaptation)))))))#
36	nonadaptive	serve	purpose	(S1 (S (PRN (-LRB- -LRB-) (PP (IN of) (NP (DT a) (NN trait) (CC or) (NN condition))) (-RRB- -RRB-)) (VP (VBG failing) (S (VP (TO to) (VP (VB serve) (NP (DT an) (JJ adjustive) (NN purpose))))))))#
37	agglutinative	forming	words	(S1 (S (VP (VBG forming) (NP (JJ derivative) (CC or) (JJ compound) (NNS words)) (PP (IN by) (S (VP (VBG putting) (PRT (RP together)) (NP (NP (NNS constituents)) (SBAR (WHNP (NP (DT each)) (WHPP (IN of) (WHNP (WDT which)))) (S (VP (VBZ expresses) (NP (DT a) (JJ single) (JJ definite) (NN meaning))))))))))))#
38	viscid	having	properties	(S1 (S (VP (VBG having) (NP (NP (DT the) (JJ sticky) (NNS properties)) (PP (IN of) (NP (DT an) (NN adhesive)))))))#
39	gum-like	resembling	gum	(S1 (S (VP (VBG resembling) (NP (VBG chewing) (NN gum)))))#
40	nonglutinous	resembling	glue	(S1 (S (RB not) (VP (VBG resembling) (NP (NN glue)) (PP (IN in) (NP (NN texture))))))#
41	nonviscid	resembling	glue	(S1 (S (RB not) (VP (VBG resembling) (NP (NN glue)) (PP (IN in) (NP (NN texture))))))#
42	nonresinous	having	resin	(S1 (S (VP (RB not) (VBG having) (NP (NN resin)))))#
43	non-resinous	having	resin	(S1 (S (VP (RB not) (VBG having) (NP (NN resin)))))#
44	nonresiny	having	resin	(S1 (S (VP (RB not) (VBG having) (NP (NN resin)))))#
45	non-resiny	having	resin	(S1 (S (VP (RB not) (VBG having) (NP (NN resin)))))#
46	carbuncled	resembling	carbuncle	(S1 (S (VP (VBN afflicted) (PP (IN with) (S (VP (CC or) (VBG resembling) (NP (DT a) (NN carbuncle))))))))#
47	topknotted	having	tuft	(S1 (S (PRN (-LRB- -LRB-) (PP (IN of) (NP (DT a) (NN bird) (CC or) (NN animal))) (-RRB- -RRB-)) (S (VP (VBG having) (NP (DT a) (ADJP (RB usually) (JJ ornamental)) (NN tuft) (CC or) (NN process)) (PP (IN on) (NP (DT the) (NN head))))) (: ;) (VP (ADVP (RB often)) (VBN used) (PP (IN in) (NP (NN combination))))))#
48	inwrought	having	pattern	(S1 (S (VP (VBG having) (NP (NP (DT a) (JJ decorative) (NN pattern)) (VP (VBN worked) (CC or) (VBN woven) (PP (IN in)))))))#
49	co-ordinated	bring	order	(S1 (S (VP (VBP bring) (NP (NN order) (CC and) (NN organization)) (PP (TO to)))))#
50	light-fingered	having	fingers	(S1 (S (VP (VBG having) (NP (JJ nimble) (NNS fingers)) (ADVP (RB literally) (CC or) (RB figuratively)) (PRN (: ;) (ADVP (RB especially)) (PP (IN for) (S (VP (VBG stealing) (CC or) (VBG picking) (NP (NNS pockets)))))))))#
51	nimble-fingered	having	fingers	(S1 (S (VP (VBG having) (NP (JJ nimble) (NNS fingers)) (ADVP (RB literally) (CC or) (RB figuratively)) (PRN (: ;) (ADVP (RB especially)) (PP (IN for) (S (VP (VBG stealing) (CC or) (VBG picking) (NP (NNS pockets)))))))))#
52	ham-fisted	lacking	movement	(S1 (S (VP (VBG lacking) (NP (NP (JJ physical) (NN movement) (NNS skills)) (, ,) (PP (ADVP (RB especially)) (IN with) (NP (DT the) (NNS hands)))))))#
53	ham-handed	lacking	movement	(S1 (S (VP (VBG lacking) (NP (NP (JJ physical) (NN movement) (NNS skills)) (, ,) (PP (ADVP (RB especially)) (IN with) (NP (DT the) (NNS hands)))))))#
54	heavy-handed	lacking	movement	(S1 (S (VP (VBG lacking) (NP (NP (JJ physical) (NN movement) (NNS skills)) (, ,) (PP (ADVP (RB especially)) (IN with) (NP (DT the) (NNS hands)))))))#
55	unmechanical	lacking	skills	(S1 (S (-LRB- -LRB-) (NP (IN of) (DT a) (NN person)) (-RRB- -RRB-) (VP (VBG lacking) (NP (JJ mechanical) (NNS skills)))))#
56	venturous	venture	risks	(S1 (S (VP (VBN disposed) (S (VP (TO to) (VP (VB venture) (CC or) (VB take) (NP (NNS risks))))))))#
57	well-advised	having	benefit	(S1 (S (VP (VBG having) (NP (NP (DT the) (NN benefit)) (PP (IN of) (NP (NP (JJ careful) (JJ prior) (NN consideration)) (CC or) (NP (NN counsel))))))))#
58	inaesthetic	violating	canons	(S1 (S (S (VP (VBG violating) (NP (JJ aesthetic) (NNS canons) (CC or) (NNS requirements)))) (: ;) (VP (VBP deficient) (PP (IN in) (NP (NN tastefulness) (CC or) (NN beauty))))))#
59	unartistic	lacking	sensibility	(S1 (S (VP (VBG lacking) (NP (JJ aesthetic) (NN sensibility))) (: ;)))#
60	stage-struck	enthralled	desire	(S1 (S (VP (VP (VBN infatuated) (PP (IN with))) (CC or) (VP (VBD enthralled) (PP (IN by) (NP (DT the) (NN theater))) (NP (RB especially) (DT the) (NN desire)) (S (VP (TO to) (VP (VB act))))))))#
61	affirmatory	affirming	assent	(S1 (S (VP (VBG affirming) (CC or) (VBG giving) (NP (NN assent)))))#
62	assentient	expressing	agreement	(S1 (S (VP (VBG expressing) (NP (NN agreement) (CC or) (NN consent)))))#
63	dissentient	attend	services	(S1 (S (PRN (-LRB- -LRB-) (PP (IN of) (NP (NNPS Catholics))) (-RRB- -RRB-)) (VP (VBG refusing) (S (VP (TO to) (VP (VB attend) (NP (NP (NNS services)) (PP (IN of) (NP (NP (DT the) (NNP Church)) (PP (IN of) (NP (NNP England))))))))))))#
64	white-lipped	having	lips	(S1 (S (VP (VBG having) (NP (NP (JJ white) (NNS lips)) (PP (IN from) (NP (NN fear) (CC or) (NN terror)))))))#
65	unapprehensive	recognize	danger	(S1 (S (RB not) (VP (VBG recognizing) (CC or) (VB slow) (S (VP (TO to) (VP (VB recognize) (NP (NN danger))))))))#
66	battleful	having	disposition	(S1 (S (VP (VBG having) (CC or) (VBG showing) (NP (NP (DT a) (JJ ready) (NN disposition)) (SBAR (S (VP (TO to) (VP (VB fight)))))))))#
67	vulturine	catching	prey	(S1 (S (VP (VBG living) (PP (IN by) (S (VP (VBG preying) (PP (IN on) (NP (JJ other) (NNS animals))) (PP (ADVP (RB especially)) (IN by) (S (VP (VBG catching) (NP (VBG living) (NN prey)))))))))))#
68	plaguy	causing	irritation	(S1 (S (VP (VBG causing) (NP (NP (NN irritation)) (CC or) (NP (NN annoyance))))))#
69	plaguey	spread	epidemic	(S1 (S (ADJP (JJ likely) (S (VP (TO to) (VP (VB spread) (CC and) (VB cause) (NP (DT an) (NN epidemic) (NN disease))))))))#
70	air-to-air	involving	rockets	(S1 (S (VP (VP (VBG operating) (IN between) (CC or) (VP (VBN launched) (PP (IN from)))) (CC or) (VP (VBG involving) (NP (NNS rockets) (CC or) (NNS aircraft)) (PP (IN in) (NP (NN flight)))))))#
71	argus-eyed	having	vision	(S1 (S (VP (VBG having) (NP (ADJP (RB very) (JJ keen)) (NN vision)))))#
72	trial-and-error	trying	means	(S1 (S (VP (VBG trying) (PRT (RP out)) (NP (JJ various) (NNS means) (CC or) (NNS theories)) (SBAR (IN until) (S (NP (NN error)) (VP (VBZ is) (ADVP (RB satisfactorily)) (VP (VBN reduced) (CC or) (VBN eliminated))))))))#
73	liveborn	showing	signs	(S1 (S (SBAR (PRN (-LRB- -LRB-) (PP (IN of) (NP (JJ newborn) (NN infant))) (-RRB- -RRB-)) (S (VP (VBG showing) (NP (NP (NNS signs)) (PP (IN of) (NP (NN life)))) (PP (IN after) (NP (NN birth)))))) (: ;) (NP (RB not) (NN stillborn))))#
74	abecedarian	learning	rudiments	(S1 (NP (NP (DT a) (NN novice)) (VP (VBG learning) (NP (NP (DT the) (NNS rudiments)) (PP (IN of) (NP (DT some) (NN subject)))))))#
75	analphabetic	know	alphabet	(S1 (NP (NP (DT an) (JJ illiterate) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ does) (RB not) (VP (VB know) (NP (DT the) (NN alphabet))))))))#
76	double-barreled	having	barrels	(S1 (S (S (VP (VBG having) (NP (CD two) (NNS barrels)))) (VP (VBN mounted) (NP (NN side)) (PP (IN by) (NP (NN side))))))#
77	double-barrelled	having	barrels	(S1 (S (S (VP (VBG having) (NP (CD two) (NNS barrels)))) (VP (VBN mounted) (NP (NN side)) (PP (IN by) (NP (NN side))))))#
78	multi-valued	having	values	(S1 (S (VP (VBG having) (NP (NP (JJ many) (NNS values)) (, ,) (NP (NNS meanings)) (, ,) (CC or) (NP (NNS appeals))))))#
79	polysemous	having	meanings	(S1 (FRAG (PP (IN of) (NP (NNS words))) (: ;) (S (VP (VBG having) (NP (JJ many) (NNS meanings))))))#
80	polysemantic	having	meanings	(S1 (FRAG (PP (IN of) (NP (NNS words))) (: ;) (S (VP (VBG having) (NP (JJ many) (NNS meanings))))))#
81	monosemous	having	meaning	(S1 (S (VP (VBG having) (NP (QP (RB only) (CD one)) (NN meaning)))))#
82	would-be	realizing	ambition	(S1 (S (ADJP (JJ unfulfilled) (CC or) (JJ frustrated)) (PP (IN in) (S (VP (VBG realizing) (NP (DT an) (NN ambition)))))))#
83	wide-cut	having	fabric	(S1 (S (VP (VBG having) (NP (JJ ample) (NN fabric)))))#
84	hand-to-mouth	providing	essentials	(S1 (S (VP (VBG providing) (NP (JJ only) (JJ bare) (NNS essentials)))))#
85	anaclinal	surrounding	rock	(S1 (FRAG (PP (IN of) (NP (NNS valleys) (CC and) (NNS rivers))) (: ;) (S (VP (VBG progressing) (PP (IN in) (NP (DT a) (NN direction) (JJ opposite))) (PP (TO to) (NP (NP (DT the) (NN dip)) (PP (IN in) (S (VP (VBG surrounding) (NP (NN rock) (NN strata)))))))))))#
86	cataclinal	surrounding	rock	(S1 (FRAG (PP (IN of) (NP (NNS valleys) (CC and) (NNS rivers))) (: ;) (S (VP (VBG running) (PP (IN in) (NP (NP (DT the) (NN direction)) (PP (IN of) (NP (NP (DT the) (NN dip)) (PP (IN in) (S (VP (VBG surrounding) (NP (NN rock) (NN strata)))))))))))))#
87	anastigmatic	form	point	(S1 (S (VP (VBG pertaining) (PP (TO to) (NP (NP (DT a) (NN lens) (CC or) (NN lens) (NN system)) (ADJP (JJ free) (PP (IN of) (NP (NP (NN astigmatism)) (PRN (-LRB- -LRB-) (NP (JJ able) (S (VP (TO to) (VP (VB form) (NP (NN point) (NNS images)))))) (-RRB- -RRB-))))))))))#
88	synthetical	combining	elements	(S1 (UCP (VP (VBG involving)) (CC or) (PP (IN of) (NP (NP (DT the) (NN nature)) (PP (IN of) (NP (NN synthesis))) (PRN (-LRB- -LRB-) (VP (VBG combining) (NP (JJ separate) (NNS elements)) (S (VP (TO to) (VP (VB form) (NP (DT a) (JJ coherent) (NN whole)))))) (-RRB- -RRB-)) (SBAR (IN as) (S (VP (VBN opposed) (PP (TO to) (NP (NN analysis))))))))))#
89	polysynthetic	forming	words	(S1 (S (VP (VBG forming) (NP (JJ derivative) (CC or) (JJ compound) (NNS words)) (PP (IN by) (S (VP (VBG putting) (PRT (RP together)) (NP (NP (NNS constituents)) (SBAR (WHNP (NP (DT each)) (WHPP (IN of) (WHNP (WDT which)))) (S (VP (VBZ expresses) (NP (DT a) (JJ single) (JJ definite) (NN meaning))))))))))))#
90	inflectional	indicating	distinctions	(S1 (S (VP (VBN characterized) (PP (IN by) (NP (NP (NNS inflections)) (VP (VBG indicating) (NP (JJ grammatical) (NNS distinctions))))))))#
91	derivational	indicating	relation	(S1 (S (VP (VBN characterized) (PP (IN by) (NP (NP (NNS inflections)) (VP (VBG indicating) (NP (NP (DT a) (JJ semantic) (NN relation)) (PP (IN between) (NP (NP (DT a) (NN word)) (CC and) (NP (PRP$ its) (NN base)))))))))))#
92	ireful	feeling	anger	(S1 (S (VP (VBG feeling) (CC or) (VBG showing) (NP (JJ extreme) (NN anger)))))#
93	smouldering	have	feelings	(S1 (S (VP (VB have) (NP (JJ strong) (VBN suppressed) (NNS feelings)))))#
94	unbitter	having	resentment	(S1 (S (VP (VBG having) (CC or) (VBG showing) (NP (NP (DT no) (NN resentment) (CC or) (NN desire)) (PP (IN for) (NP (NN revenge)))))))#
95	anon.	having	name	(S1 (S (VP (VBG having) (NP (NP (DT no) (JJ known) (NN name) (CC or) (NN identity)) (CC or) (NP (JJ known) (NN source))))))#
96	onymous	bearing	name	(S1 (S (VP (VBG bearing) (NP (DT a) (NN name)))))#
97	semiaquatic	having	form	(S1 (S (VP (VBG having) (NP (NP (DT an) (JJ aquatic) (ADJP (JJ early) (CC or) (JJ larval)) (NN form)) (CC and) (NP (DT a) (JJ terrestrial) (NN adult) (NN form))))))#
98	amphibiotic	having	form	(S1 (S (VP (VBG having) (NP (NP (DT an) (JJ aquatic) (ADJP (JJ early) (CC or) (JJ larval)) (NN form)) (CC and) (NP (DT a) (JJ terrestrial) (NN adult) (NN form))))))#
99	propaedeutic	provides	introduction	(S1 (NP (NP (DT a) (NN course)) (SBAR (WHNP (WDT that)) (S (VP (VBZ provides) (NP (NP (DT an) (NN introduction)) (PP (TO to) (NP (NP (DT an) (NN art) (CC or) (NN science)) (PRN (-LRB- -LRB-) (CC or) (PP (TO to) (NP (ADJP (RBR more) (JJ advanced)) (NN study))) (ADVP (RB generally)) (-RRB- -RRB-))))))))))#
100	preprandial	preceding	meal	(S1 (S (VP (VBG preceding) (NP (NP (DT a) (NN meal)) (PRN (-LRB- -LRB-) (NP (RB especially) (NN dinner)) (-RRB- -RRB-))))))#
101	appendaged	having	appendage	(S1 (S (VP (VBG having) (NP (DT an) (NN appendage)))))#
102	unappendaged	having	appendage	(S1 (S (VP (RB not) (VBG having) (NP (DT an) (NN appendage)))))#
103	appetising	stimulating	appetite	(S1 (S (VP (VBG appealing) (PP (TO to) (CC or) (S (VP (VBG stimulating) (NP (DT the) (NN appetite)) (PP (ADVP (RB especially)) (IN in) (NP (NN appearance) (CC or) (NN aroma)))))))))#
104	apteral	having	columns	(S1 (UCP (S (VP (VBG having) (NP (NNS columns)) (PP (IN at) (NP (QP (CD one) (CC or) (CD both)) (NNS ends))))) (CC but) (PP (RB not) (IN along) (NP (DT the) (NNS sides)))))#
105	amphiprostylar	having	columns	(S1 (S (VP (VBN marked) (PP (IN by) (NP (NP (NN columniation)) (VP (VBG having) (NP (JJ free) (NNS columns)) (PP (IN in) (NP (NP (NNS porticoes)) (PP (DT either) (PP (IN at) (NP (DT both) (NNS ends))) (CC or) (PP (IN at) (NP (NP (DT both) (NNS sides)) (PP (IN of) (NP (DT a) (NN structure))))))))))))))#
106	amphiprostyle	having	columns	(S1 (S (VP (VBN marked) (PP (IN by) (NP (NP (NN columniation)) (VP (VBG having) (NP (JJ free) (NNS columns)) (PP (IN in) (NP (NP (NNS porticoes)) (PP (DT either) (PP (IN at) (NP (DT both) (NNS ends))) (CC or) (PP (IN at) (NP (NP (DT both) (NNS sides)) (PP (IN of) (NP (DT a) (NN structure))))))))))))))#
107	amphistylar	having	columns	(S1 (S (VP (VBG having) (NP (NNS columns)) (PP (CC either) (PP (IN at) (NP (DT both) (NNS ends))) (CC or) (PP (IN at) (NP (DT both) (NNS sides)))))))#
108	pseudoprostyle	having	columns	(S1 (S (VP (VBN marked) (PP (IN by) (NP (NP (NN columniation)) (VP (VBG having) (NP (JJ free) (NNS columns)) (PP (IN in) (NP (DT a) (NN portico))) (ADVP (RB only)) (PP (IN across) (NP (NP (DT the) (NN opening)) (PP (TO to) (NP (DT the) (NN structure)))))))))))#
109	peripteral	having	columns	(S1 (S (VP (VBG having) (NP (NP (NNS columns)) (PP (IN on) (NP (DT all) (NNS sides)))))))#
110	monopteral	having	columniation	(S1 (S (VP (VBG having) (NP (JJ circular) (NN columniation)))))#
111	peristylar	having	columniation	(S1 (S (VP (VBG having) (NP (NP (NN columniation)) (VP (ADVP (RB completely)) (VBG circling) (NP (NP (DT an) (NN area)) (PP (IN of) (NP (DT the) (NN structure)))))))))#
112	pseudoperipteral	having	columniation	(S1 (S (VP (VBG having) (NP (NP (NN columniation)) (VP (ADVP (RB completely)) (VBG circling) (NP (NP (DT an) (NN area)) (PP (IN of) (NP (DT the) (NN structure)))))))))#
113	columniform	having	form	(S1 (S (VP (VBG having) (NP (NP (DT the) (NN form)) (PP (IN of) (NP (DT a) (NN column)))))))#
114	columnlike	having	form	(S1 (S (VP (VBG having) (NP (NP (DT the) (NN form)) (PP (IN of) (NP (DT a) (NN column)))))))#
115	noncolumned	having	columns	(S1 (S (VP (RB not) (VBG having) (NP (NNS columns)))))#
116	uncolumned	having	columns	(S1 (S (VP (RB not) (VBG having) (NP (NNS columns)))))#
117	astylar	lacking	columns	(S1 (S (VP (VBG lacking) (NP (NNS columns) (CC or) (NNS pillars)))))#
118	unpillared	lacking	pillars	(S1 (S (VP (VBG lacking) (NP (NNS pillars)))))#
119	arboreous	inhabiting	trees	(S1 (S (VP (VBG inhabiting) (CC or) (VBG frequenting) (NP (NNS trees)))))#
120	tree-living	inhabiting	trees	(S1 (S (VP (VBG inhabiting) (CC or) (VBG frequenting) (NP (NNS trees)))))#
121	nonarboreal	inhabiting	trees	(S1 (S (RB not) (VP (VBG inhabiting) (CC or) (VBG frequenting) (NP (NNS trees)))))#
122	militarised	lend	character	(S1 (S (VP (VB lend) (NP (NP (DT a) (JJ military) (NN character)) (SBAR (S (VP (TO to) (VP (PRN (-LRB- -LRB-) (NP (DT a) (NN country)) (-RRB- -RRB-)) (, ,) (PP (IN as) (PP (IN by) (S (VP (VBG building) (PRT (RP up)) (NP (DT a) (JJ military) (NN force))))))))))))))#
123	defenceless	lacking	protection	(S1 (S (VP (VBG lacking) (NP (NN protection) (CC or) (NN support)))))#
124	mail-cheeked	having	plates	(S1 (S (VP (VBG having) (NP (NP (JJ bony) (NNS plates)) (PP (IN on) (NP (NP (DT the) (NNS sides)) (PP (IN of) (NP (DT the) (NN head)))))))))#
125	mail-clad	wearing	mail	(S1 (S (VP (VBG wearing) (NP (JJ protective) (NN mail)))))#
126	brushlike	resembling	brush	(S1 (S (VP (VBG resembling) (NP (DT a) (NN brush)))))#
127	thistlelike	resembling	thistle	(S1 (S (VP (VBG resembling) (NP (DT a) (NN thistle)))))#
128	armlike	resembling	arm	(S1 (S (VP (VBG resembling) (NP (DT an) (NN arm)))))#
129	long-armed	having	arms	(S1 (S (VP (VBG having) (NP (ADJP (RB relatively) (JJ long)) (NNS arms)))))#
130	one-armed	having	arm	(S1 (S (VP (VBG having) (NP (CD one) (NN arm)))))#
131	tongueless	lacking	tongue	(S1 (S (VP (VBG lacking) (NP (DT a) (NN tongue)))))#
132	walk-on	plays	part	(S1 (S (VP (VBZ plays) (NP (DT a) (JJ small) (NN part)) (PP (IN in) (NP (DT a) (JJ dramatic) (NN production))))))#
133	bald-faced	having	markings	(S1 (S (PRN (-LRB- -LRB-) (PP (IN of) (NP (NNS animals))) (-RRB- -RRB-)) (VP (VBG having) (NP (NP (JJ white) (NNS markings)) (PP (IN on) (NP (DT the) (NN face)))))))#
134	self-effacing	draw	attention	(S1 (S (ADJP (JJ reluctant) (S (VP (TO to) (VP (VB draw) (NP (NN attention)) (PP (TO to) (NP (PRP yourself)))))))))#
135	associatory	bringing	ideas	(S1 (S (VP (VBN characterized) (PP (IN by) (S (VP (CC or) (VBG causing) (CC or) (VBG resulting) (PP (IN from) (NP (NP (DT the) (NN process)) (PP (IN of) (S (VP (VBG bringing) (NP (NNS ideas) (CC or) (NNS events)) (ADVP (RB together)) (PP (IN in) (NP (NN memory) (CC or) (NN imagination))))))))))))))#
136	bespoken	be	signal	(S1 (S (VP (VB be) (NP (NP (NP (DT a) (NN signal)) (PP (IN for))) (CC or) (NP (NP (DT a) (NN symptom)) (PP (IN of)))))))#
137	stalkless	having	stalk	(S1 (S (VP (VBN attached) (ADVP (RB directly)) (PP (IN by) (NP (DT the) (NN base)))) (: ;) (S (VP (RB not) (VBG having) (NP (DT an) (VBG intervening) (NN stalk))))))#
138	vagile	having	freedom	(S1 (S (VP (VBG having) (NP (NP (NN freedom)) (SBAR (S (VP (TO to) (VP (VB move) (PP (IN about))))))))))#
